month,days,green,red,day_wr_pct,picks,best_day,worst_day,pnl,cum_pnl,intra_dd
2025-01,6,3,1,50.0,7,452.7294999999997,-146.08347599999976,739.1894076666688,739.1894076666688,0.0
2025-02,8,2,3,25.0,9,442.0336960000008,-161.37595614000006,360.6828382333358,1099.8722459000046,-161.37595614000006
2025-03,4,3,0,75.0,5,276.0420555200002,0.0,512.2506734400009,1612.1229193400054,0.0
2025-04,3,2,0,66.66666666666666,3,226.34920400000024,0.0,429.5838561600004,2041.7067755000057,0.0
2025-05,4,2,2,50.0,6,838.568783026668,-226.3814313333328,814.0987291333356,2855.805504633341,-58.90418663999935
2025-06,6,3,2,50.0,11,1317.1086847733332,-228.78151199999974,1277.5383122133342,4133.3438168466755,-228.7815119999997
2025-07,6,3,1,50.0,7,377.1216518933341,-149.1185329333321,552.0689856266688,4685.4128024733445,-149.11853293333206
2025-08,3,2,0,66.66666666666666,3,404.06922000000014,0.0,605.7818497600008,5291.194652233346,0.0
2025-09,9,3,5,33.33333333333333,16,441.02542010666735,-621.1803713599986,-204.09737543999205,5087.097276793354,-563.3077089999977
2025-10,6,3,1,50.0,10,777.9029438933349,-108.82314666666657,1545.37145654667,6632.468733340023,-108.82314666666662
2025-11,7,2,4,28.57142857142857,14,297.13354080000033,-422.60733895999863,-413.9760532933277,6218.492680046696,-711.109594093328
2025-12,9,4,3,44.44444444444444,15,508.42343480000113,-370.73222666666607,91.41893208000484,6309.911612126701,-370.73222666666607
2026-01,8,2,5,25.0,12,595.1625653333338,-413.72181165999893,-293.215499726663,6016.696112400037,-791.327139059997
2026-02,10,7,0,70.0,15,357.4046666666666,0.0,1540.4696099333364,7557.165722333373,0.0
2026-03,8,4,3,50.0,9,525.79867032,-286.0200000000002,1035.684443173335,8592.850165506708,-409.53949999999986
2026-04,12,3,6,25.0,14,381.5430165466667,-210.6784449066654,89.1516706733369,8682.001836180045,-622.6759318999984
2026-05,4,0,3,0.0,5,0.0,-194.06954666666607,-475.22266986666637,8206.77916631338,-475.22266986666637
