month,days,green,red,day_wr_pct,picks,best_day,worst_day,pnl,cum_pnl,intra_dd
2025-01,14,7,4,50.0,29,600.1465478143086,-313.64286823763894,1012.4924917709901,1012.4924917709901,-575.5767868148034
2025-02,12,4,6,33.33333333333333,21,574.2664107752919,-209.11453837109903,154.26942384225794,1166.761915613248,-475.1914652641645
2025-03,9,4,4,44.44444444444444,15,467.5432082295591,-125.23611965451201,854.3321927960974,2021.0941084093454,-230.8535961900282
2025-04,5,3,2,60.0,10,896.716422366871,-109.9993423552732,1431.419988119452,3452.5140965287974,-109.99934235527326
2025-05,10,3,5,30.0,16,1231.5923392699108,-126.62020112514196,2026.8713142368247,5479.3854107656225,-132.7868310336371
2025-06,15,6,7,40.0,28,237.27507965938125,-170.17569428767297,-43.95523542858919,5435.430175337034,-298.8821196971662
2025-07,15,4,7,26.666666666666668,23,84.03269415741933,-201.34646369680877,-241.51505196988276,5193.915123367151,-335.6919388486537
2025-08,8,2,4,25.0,11,157.91380418722298,-109.28913745398332,-125.48675225370796,5068.428371113443,-186.0928700794716
2025-09,20,9,10,45.0,42,868.0534159240099,-165.58109144696687,2164.4362681945213,7232.864639307964,-597.4177400932035
2025-10,14,5,7,35.714285714285715,28,1670.166696976465,-297.43061584548843,1836.8284095631348,9069.693048871099,-402.1047149419155
2025-11,14,4,10,28.57142857142857,32,409.3979910111425,-523.9442140226855,-762.8429320821842,8306.850116788915,-1333.558208602938
2025-12,13,2,8,15.384615384615385,27,550.5377472172108,-361.6647404461818,-731.5230319267431,7575.327084862172,-913.594777752379
2026-01,14,4,8,28.57142857142857,24,1254.687100003868,-262.9475681414591,573.539390390328,8148.8664752525,-418.52514486865095
2026-02,16,7,9,43.75,41,986.5089680016058,-236.63428757928173,2010.7478001347322,10159.614275387232,-343.22475058308765
2026-03,17,7,8,41.17647058823529,30,1883.0485760543759,-360.85276809097127,3591.7108595969166,13751.325134984148,-472.2451270150146
2026-04,18,10,6,55.55555555555556,43,497.9156750127852,-183.25991256082023,1447.4804722069646,15198.805607191112,-355.8730130174546
2026-05,18,6,12,33.33333333333333,38,585.5768371970962,-170.9403280342048,-85.84982472491029,15112.955782466202,-602.0514480549208
