day,symbol,m
2025-01-03,PDYN,619
2025-01-06,MNSO,576
2025-01-06,NVD,581
2025-01-08,ALTS,581
2025-01-08,ARQQ,576
2025-01-08,ATOM,576
2025-01-08,OKLO,588
2025-01-08,RCAT,592
2025-01-08,SOUN,579
2025-01-10,ACHR,576
2025-01-10,XXII,577
2025-01-13,BTDR,579
2025-01-13,IONQ,613
2025-01-13,QMCO,588
2025-01-13,QUBT,591
2025-01-15,MSTZ,599
2025-01-16,RGTI,584
2025-01-17,RGTI,615
2025-01-21,IREN,576
2025-01-21,SMX,582
2025-01-23,RGTIW,604
2025-01-27,CLSK,578
2025-01-27,MXL,578
2025-01-27,NTRB,578
2025-01-27,NXE,578
2025-01-27,SERV,577
2025-01-27,SMR,576
2025-01-28,JBLU,581
2025-01-28,XIFR,578
2025-02-03,BKKT,578
2025-02-03,LUNR,584
2025-02-03,NSSC,576
2025-02-03,QBTS,578
2025-02-03,QUBT,608
2025-02-03,TSSI,576
2025-02-06,LSPD,577
2025-02-07,GMEX,576
2025-02-07,SBIT,586
2025-02-13,KC,577
2025-02-18,AUR,576
2025-02-19,KOLD,586
2025-02-20,ARDX,612
2025-02-21,DBX,577
2025-02-21,GCL,576
2025-02-24,HSAI,581
2025-02-25,AIFF,576
2025-02-25,CLSK,592
2025-02-25,CSAI,594
2025-02-25,ETHT,579
2025-02-25,RIOT,603
2025-02-25,WGMI,583
2025-02-26,DOMH,583
2025-02-26,VTEX,578
2025-02-27,PLTK,580
2025-02-27,SMCL,576
2025-02-27,TDOC,578
2025-02-27,VTRS,580
2025-03-04,ACON,582
2025-03-04,CLMT,577
2025-03-04,CRNC,584
2025-03-04,IONQ,618
2025-03-04,RDW,618
2025-03-04,UMAC,622
2025-03-06,GRND,578
2025-03-06,IREN,577
2025-03-06,NVDX,577
2025-03-06,VSCO,577
2025-03-07,SERV,577
2025-03-10,CONL,578
2025-03-10,HUT,594
2025-03-10,LUNR,594
2025-03-10,MSTX,578
2025-03-10,MSTY,578
2025-03-10,SOXL,601
2025-03-10,TSLT,578
2025-03-10,WEBL,578
2025-03-10,WOLF,603
2025-03-11,ARVN,576
2025-03-11,ASAN,578
2025-03-11,AVO,594
2025-03-12,TSLZ,577
2025-03-13,MSTY,590
2025-03-13,VNET,578
2025-03-18,QMCO,578
2025-03-18,QUBT,578
2025-03-19,MSTZ,589
2025-03-19,VNET,586
2025-03-21,ADTX,576
2025-03-21,ROBN,577
2025-03-24,MSTZ,595
2025-03-28,ROBN,582
2025-03-31,ALP,577
2025-03-31,APLD,587
2025-03-31,ATON,577
2025-03-31,DYN,579
2025-03-31,IONQ,582
2025-03-31,MSTU,583
2025-03-31,PLTU,581
2025-03-31,QMCO,576
2025-03-31,QURE,576
2025-03-31,RCAT,583
2025-03-31,RCKT,576
2025-03-31,ROBN,576
2025-03-31,TSLR,586
2025-03-31,UMAC,576
2025-03-31,VERA,578
2025-04-03,AAL,601
2025-04-03,AAPU,580
2025-04-03,AEHR,583
2025-04-03,AESI,576
2025-04-03,AIOT,584
2025-04-03,ALMS,578
2025-04-03,AMZU,582
2025-04-03,APA,576
2025-04-03,AROC,613
2025-04-03,BE,634
2025-04-03,BTU,584
2025-04-03,CALY,579
2025-04-03,CAPR,593
2025-04-03,CRGY,577
2025-04-03,DFTX,600
2025-04-03,DNA,586
2025-04-03,DNLI,617
2025-04-03,FNGU,584
2025-04-03,FNKO,576
2025-04-03,FORM,580
2025-04-03,FOXF,578
2025-04-03,FSLY,578
2025-04-03,GAP,582
2025-04-03,HAL,583
2025-04-03,HERE,582
2025-04-03,HP,592
2025-04-03,LBRT,583
2025-04-03,LX,576
2025-04-03,MAC,576
2025-04-03,NE,590
2025-04-03,OUST,583
2025-04-03,OWL,583
2025-04-03,RIOT,584
2025-04-03,SEDG,598
2025-04-03,SERV,628
2025-04-03,SM,577
2025-04-03,SOFI,589
2025-04-03,TIGR,577
2025-04-03,WBD,584
2025-04-04,ACHR,576
2025-04-04,ADMA,583
2025-04-04,ALGM,583
2025-04-04,BLMN,612
2025-04-04,BYRN,578
2025-04-04,CLF,576
2025-04-04,CLMT,576
2025-04-04,CRK,576
2025-04-04,CVE,576
2025-04-04,DAR,576
2025-04-04,DB,579
2025-04-04,DRD,579
2025-04-04,FLEX,576
2025-04-04,FRO,578
2025-04-04,FSM,582
2025-04-04,GCT,578
2025-04-04,GSAT,631
2025-04-04,JHX,583
2025-04-04,KLC,599
2025-04-04,LC,577
2025-04-04,LTBR,576
2025-04-04,MGNI,576
2025-04-04,OPRA,630
2025-04-04,ORLA,613
2025-04-04,PBF,577
2025-04-04,PBI,577
2025-04-04,PCT,576
2025-04-04,PENG,581
2025-04-04,PINS,579
2025-04-04,SBLK,584
2025-04-04,SOFI,576
2025-04-04,SOXL,576
2025-04-04,SVIX,579
2025-04-04,TSSI,577
2025-04-04,TWO,577
2025-04-04,UAA,577
2025-04-04,UMAC,576
2025-04-04,VET,583
2025-04-04,VNET,576
2025-04-04,XPEV,577
2025-04-07,AAPU,583
2025-04-07,AEHR,581
2025-04-07,AESI,583
2025-04-07,AI,581
2025-04-07,ANGI,576
2025-04-07,APPN,585
2025-04-07,ARKF,583
2025-04-07,ARTY,584
2025-04-07,ARWR,578
2025-04-07,ASAN,583
2025-04-07,ASPN,578
2025-04-07,BBWI,586
2025-04-07,BCS,585
2025-04-07,BTDR,584
2025-04-07,CERT,583
2025-04-07,CLM,576
2025-04-07,CLSK,584
2025-04-07,CRGY,578
2025-04-07,CSQ,584
2025-04-07,CSTM,576
2025-04-07,DFTX,578
2025-04-07,DLO,585
2025-04-07,ECC,576
2025-04-07,EPD,583
2025-04-07,ETHE,584
2025-04-07,FVRR,585
2025-04-07,GDS,585
2025-04-07,GGLL,579
2025-04-07,HLX,585
2025-04-07,HOS,585
2025-04-07,KREF,582
2025-04-07,KSS,576
2025-04-07,NAVI,583
2025-04-07,NBIS,579
2025-04-07,NBXG,583
2025-04-07,NMRK,578
2025-04-07,NTLA,581
2025-04-07,NVDL,583
2025-04-07,OSCR,581
2025-04-07,RGNX,577
2025-04-07,SEZL,583
2025-04-07,SG,584
2025-04-07,SONO,586
2025-04-07,SPRY,579
2025-04-07,ST,583
