day,symbol,m
2025-01-02,MSTZ,582
2025-01-02,SMST,582
2025-01-03,QBTS,620
2025-01-03,RGTI,620
2025-01-07,CRNC,604
2025-01-07,MSTU,577
2025-01-07,STOK,580
2025-01-08,NNE,578
2025-01-08,OUST,581
2025-01-08,PDYN,578
2025-01-08,SEDG,608
2025-01-08,SMR,587
2025-01-10,NTLA,577
2025-01-13,ARQQ,604
2025-01-13,ETHT,576
2025-01-13,OKLO,576
2025-01-13,RDW,612
2025-01-13,RGTI,610
2025-01-13,SERV,576
2025-01-13,UMAC,625
2025-01-13,WKEY,603
2025-01-14,MSTZ,576
2025-01-14,TSLQ,578
2025-01-15,TSLQ,581
2025-01-15,XTIA,581
2025-01-16,ETHT,582
2025-01-16,ETHU,582
2025-01-17,MSTZ,576
2025-01-22,RDW,580
2025-01-22,WKEY,602
2025-01-23,ALOY,580
2025-01-27,AAOI,577
2025-01-27,AMDL,578
2025-01-27,APLD,577
2025-01-27,BE,616
2025-01-27,BTDR,605
2025-01-27,CORZ,583
2025-01-27,HIMX,577
2025-01-27,HUT,577
2025-01-27,MARA,577
2025-01-27,MIR,576
2025-01-27,NVDX,619
2025-01-27,RIOT,577
2025-01-27,SOXL,618
2025-01-27,VISN,579
2025-01-27,WULF,614
2025-01-30,COUR,577
2025-01-30,GDXD,578
2025-01-30,KRKR,577
2025-02-03,DNA,576
2025-02-03,GRRR,582
2025-02-03,PLTU,587
2025-02-03,RGTI,607
2025-02-03,SMCX,577
2025-02-03,SVIX,612
2025-02-04,PLTD,577
2025-02-05,CPRI,576
2025-02-05,UBRL,580
2025-02-06,KURA,576
2025-02-06,NTGR,581
2025-02-06,SDA,614
2025-02-10,TXG,577
2025-02-11,FLNC,576
2025-02-13,ASPN,598
2025-02-14,AIFF,576
2025-02-14,ATOM,582
2025-02-14,NNOX,576
2025-02-14,SERV,577
2025-02-14,SOUN,577
2025-02-18,JELD,605
2025-02-18,NEO,577
2025-02-19,WWW,576
2025-02-21,KOLD,578
2025-02-21,NU,576
2025-02-21,WEAV,595
2025-02-24,LX,593
2025-02-24,VNET,576
2025-02-25,BTDR,595
2025-02-25,CONL,581
2025-02-25,IREN,581
2025-02-25,RDW,578
2025-02-25,ROBN,590
2025-02-27,IONQ,585
2025-02-27,STKL,608
2025-02-27,VNET,586
2025-03-03,NABL,578
2025-03-03,RC,596
2025-03-04,EBS,576
2025-03-04,GPRE,591
2025-03-04,IREN,619
2025-03-04,KOLD,582
