month,days,green,red,day_wr_pct,picks,best_day,worst_day,pnl,cum_pnl,intra_dd
2025-01,2,0,1,0.0,2,0.0,-61.22551780190534,-61.22551780190534,-61.22551780190534,-61.22551780190534
2025-02,4,0,1,0.0,4,0.0,-69.98950085214314,-69.98950085214314,-131.2150186540485,-69.98950085214314
2025-04,1,0,0,0.0,1,0.0,0.0,0.0,-131.2150186540485,0.0
2025-05,2,0,0,0.0,2,0.0,0.0,0.0,-131.2150186540485,0.0
2025-06,6,1,2,16.666666666666664,7,52.912075040000026,-59.63108750764302,-48.88905038764321,-180.1040690416917,-59.63108750764302
2025-07,1,0,0,0.0,1,0.0,0.0,0.0,-180.1040690416917,0.0
2025-09,4,1,1,25.0,4,51.52994983733351,-40.29570133333282,11.23424850400069,-168.869820537691,-40.29570133333282
2025-10,4,1,1,25.0,5,546.4235567980004,-14.534010186666677,531.8895466113337,363.0197260736427,0.0
2025-11,2,1,1,50.0,2,58.69464678666713,-31.565894666666317,27.12875212000081,390.1484781936435,0.0
2025-12,4,0,4,0.0,5,-42.62673999999933,-256.79066323809525,-619.0278433247603,-228.8793651311168,-504.98666457142747
2026-01,1,0,1,0.0,1,-131.22809794630305,-131.22809794630305,-131.22809794630305,-360.1074630774199,0.0
2026-02,3,2,0,66.66666666666666,4,414.37004528,0.0,595.7092187466671,235.60175566924727,0.0
2026-03,2,1,1,50.0,2,1883.0483406733333,-41.2333739999991,1841.8149666733343,2077.4167223425816,-41.233373999999
2026-04,5,1,1,20.0,6,11.010114559167334,-71.02934471285718,-60.01923015368985,2017.3974921888916,-71.02934471285718
2026-05,3,0,3,0.0,5,-2.87101553999894,-170.59983455321427,-238.9317285398797,1778.465763649012,-173.4708500932132
2026-06,6,0,2,0.0,8,0.0,-270.98055999999866,-328.0015519866652,1450.4642116623468,-328.0015519866652
2026-07,6,1,4,16.666666666666664,9,372.65012682933315,-148.7614936999998,56.698428756000226,1507.162640418347,-246.50175303333336
2026-08,5,1,2,20.0,7,154.75853025000112,-93.3297426666657,-9.978086416664496,1497.1845540016825,-93.32974266666571
2026-09,2,0,2,0.0,2,-25.88969866666603,-107.24834999999976,-133.13804866666578,1364.0465053350167,-25.88969866666602
