month,days,green,red,day_wr_pct,picks,best_day,worst_day,pnl,cum_pnl,intra_dd
2025-01,8,2,2,25.0,10,600.1464727959996,-164.5448263719997,625.7648406639998,625.7648406639998,-164.54482637199976
2025-02,6,2,1,33.33333333333333,7,438.2268440639998,-161.37595614000008,542.1489921773327,1167.9138328413326,-161.37595614000008
2025-03,3,1,1,33.33333333333333,3,81.50797653592022,-63.384773266439865,18.123203269480356,1186.037036110813,0.0
2025-04,2,2,0,100.0,2,374.3874696479999,179.17681407999982,553.5642837279997,1739.6013198388127,0.0
2025-05,3,2,1,66.66666666666666,3,566.8328269042202,-69.50444533999995,825.6248835578194,2565.226203396632,-69.50444533999996
2025-06,7,1,2,14.285714285714285,7,374.41398958333383,-42.63926399999951,298.75885198333435,2863.9850553799665,-75.6551375999995
2025-07,8,1,0,12.5,8,94.27044295661338,0.0,94.27044295661338,2958.25549833658,0.0
2025-08,4,1,2,25.0,4,157.91378444799994,-73.43091038295987,26.856261089039847,2985.1117594256198,-73.43091038295987
2025-09,7,1,5,14.285714285714285,9,64.01571864733417,-124.78120000000037,-262.3379537659974,2722.773805659622,-314.8204346133317
2025-10,7,3,1,42.857142857142854,8,549.8352255943205,-14.534010186666677,1115.2798092016544,3838.0536148612764,-14.534010186666706
2025-11,5,1,3,20.0,7,324.34562360000064,-260.6633389599989,-147.6781214766646,3690.3754933846117,-260.6633389599989
2025-12,9,3,3,33.33333333333333,11,550.5376784000011,-205.5692613333328,455.3204855993358,4145.6959789839475,-275.88695199999995
2026-01,6,2,3,33.33333333333333,9,1254.6869431680002,-131.71943732671423,1069.3029782652866,5214.998957249234,-191.02497732671327
2026-02,6,1,3,16.666666666666664,7,743.3404914580007,-100.1521313333335,613.1140479246671,5828.113005173901,-112.1433525333335
2026-03,4,2,1,50.0,5,601.0561748160004,-123.5194999999996,500.00980081600113,6328.122805989902,-123.5194999999996
2026-04,8,1,2,12.5,9,497.9156127733337,-16.27717119999903,465.8451148000015,6793.9679207899035,-32.07049797333215
2026-05,6,0,3,0.0,6,0.0,-65.46087844666651,-106.66675911333297,6687.301161676571,-41.20588066666646
2026-06,10,3,3,30.0,15,217.70061217666674,-128.97240966904755,181.98020285428606,6869.281364530857,-239.58713889571314
2026-07,9,4,4,44.44444444444444,14,139.39997266666697,-232.4576613333328,-92.20499210654447,6777.0763724243125,-236.45079333333263
2026-08,8,1,6,12.5,11,140.00499000000022,-139.08673533333334,-318.40470542666446,6458.671666997648,-290.82972675999844
2026-09,1,0,0,0.0,2,0.0,0.0,0.0,6458.671666997648,0.0
