month,days,green,red,day_wr_pct,picks,best_day,worst_day,pnl,cum_pnl,intra_dd
2025-01,5,1,2,20.0,6,600.1464727959996,-225.77034417390504,228.29265262209472,228.29265262209472,-225.77034417390504
2025-02,4,2,1,50.0,5,438.2268440639998,-69.98950085214314,633.5354474651897,861.8281000872844,-69.98950085214312
2025-03,1,0,1,0.0,1,-63.384773266439865,-63.384773266439865,-63.384773266439865,798.4433268208445,0.0
2025-04,1,1,0,100.0,1,374.3874696479999,374.3874696479999,374.3874696479999,1172.8307964688445,0.0
2025-05,1,1,0,100.0,1,566.8328269042202,566.8328269042202,566.8328269042202,1739.6636233730646,0.0
2025-06,6,1,2,16.666666666666664,6,374.41398958333383,-59.63108750764302,281.76702847569084,2021.4306518487556,-33.015873600000006
2025-07,1,0,0,0.0,1,0.0,0.0,0.0,2021.4306518487556,0.0
2025-08,1,0,1,0.0,1,-73.43091038295987,-73.43091038295987,-73.43091038295987,1947.9997414657958,0.0
2025-09,8,1,4,12.5,10,64.01571864733417,-104.53622666666642,-177.8524550993298,1770.147286366466,-230.33493594666413
2025-10,4,3,1,75.0,5,549.8352255943205,-14.534010186666677,1115.2798092016544,2885.4270955681204,-14.534010186666706
2025-11,1,1,0,100.0,1,324.34562360000064,324.34562360000064,324.34562360000064,3209.772719168121,0.0
2025-12,5,1,2,20.0,6,550.5376784000011,-205.5692613333328,230.68863768000153,3440.4613568481227,-205.5692613333328
2026-01,2,0,2,0.0,2,-32.904904999999836,-131.22809794630305,-164.1330029463029,3276.32835390182,-131.22809794630305
2026-02,4,1,2,25.0,5,181.3391734666672,-100.1521313333335,63.10395113333375,3339.4323050351536,-100.1521313333335
2026-03,3,2,0,66.66666666666666,3,1883.0483406733333,0.0,2161.7483441666673,5501.18064920182,0.0
2026-04,6,0,2,0.0,7,0.0,-71.02934471285718,-87.30651591285621,5413.874133288964,-87.30651591285621
2026-05,1,0,1,0.0,2,-170.59983455321427,-170.59983455321427,-170.59983455321427,5243.27429873575,0.0
2026-06,6,0,2,0.0,9,0.0,-128.97240966904755,-168.74498181571403,5074.529316920036,-168.74498181571403
2026-07,6,3,3,50.0,8,115.53391527866626,-137.25786454521443,26.496182946786963,5101.025499866822,-39.35348199999848
2026-08,5,1,0,20.0,7,140.00499000000022,0.0,140.00499000000022,5241.030489866823,0.0
2026-09,1,0,0,0.0,1,0.0,0.0,0.0,5241.030489866823,0.0
