month,days,green,red,day_wr_pct,picks,best_day,worst_day,pnl,cum_pnl,intra_dd
2025-01,5,1,2,20.0,6,600.1464727959996,-225.77034417390504,228.29265262209472,228.29265262209472,-225.77034417390504
2025-02,4,2,1,50.0,5,438.2268440639998,-69.98950085214314,633.5354474651897,861.8281000872844,-69.98950085214312
2025-03,1,0,1,0.0,1,-63.384773266439865,-63.384773266439865,-63.384773266439865,798.4433268208445,0.0
2025-04,1,1,0,100.0,1,374.3874696479999,374.3874696479999,374.3874696479999,1172.8307964688445,0.0
2025-05,1,1,0,100.0,1,566.8328269042202,566.8328269042202,566.8328269042202,1739.6636233730646,0.0
2025-06,7,1,2,14.285714285714285,8,332.24395166333363,-59.63108750764302,239.5969905556906,1979.2606139287552,-92.64696110764302
2025-07,2,1,0,50.0,2,94.27044295661338,0.0,94.27044295661338,2073.531056885369,0.0
2025-08,2,0,1,0.0,2,0.0,-73.43091038295987,-73.43091038295987,2000.100146502409,0.0
2025-09,8,1,4,12.5,10,64.01571864733417,-104.53622666666642,-177.8524550993298,1822.2476914030792,-230.33493594666413
2025-10,4,3,1,75.0,6,1110.9097767323206,-14.534010186666677,1676.3543603396547,3498.602051742734,-14.534010186666592
2025-11,3,2,1,66.66666666666666,3,324.34562360000064,-74.93836046514248,308.1019099215253,3806.7039616642596,0.0
2025-12,8,2,4,25.0,9,550.5376784000011,-205.5692613333328,213.37809577523984,4020.0820574394993,-275.88695199999984
2026-01,4,1,2,25.0,4,1254.6869431680002,-131.22809794630305,1090.5539402216973,5110.635997661197,-131.22809794630302
2026-02,5,2,2,40.0,7,181.3391734666672,-201.15622647583382,77.08695032416668,5187.722947985363,-219.2393174758338
2026-03,4,3,0,75.0,4,1883.0483406733333,0.0,3777.6654048306673,8965.38835281603,0.0
2026-04,7,0,3,0.0,8,0.0,-71.02934471285718,-103.09984268618933,8862.28851012984,-103.09984268618933
2026-05,3,0,2,0.0,4,0.0,-170.59983455321427,-173.47085009321322,8688.817660036626,-173.47085009321322
2026-06,8,1,3,12.5,14,265.3542120000003,-368.3381104690476,-413.73703061571246,8275.080629420914,-413.73703061571246
2026-07,7,4,3,57.14285714285714,9,282.04377266666705,-137.25786454521443,308.539955613454,8583.620585034369,-39.35348199999848
2026-08,8,2,2,25.0,10,701.0759580729072,-126.45823999999953,686.1925054062414,9269.81309044061,-154.88844266666615
2026-09,2,0,1,0.0,2,0.0,-107.24834999999976,-107.24834999999976,9162.56474044061,0.0
