month,days,green,red,day_wr_pct,picks,best_day,worst_day,pnl,cum_pnl,intra_dd
2025-01,5,1,2,20.0,6,600.1464727959996,-225.77034417390504,228.29265262209472,228.29265262209472,-225.77034417390504
2025-02,4,2,1,50.0,5,438.2268440639998,-69.98950085214314,633.5354474651897,861.8281000872844,-69.98950085214312
2025-03,2,1,1,50.0,2,81.50797653592022,-63.384773266439865,18.123203269480356,879.9513033567647,0.0
2025-04,1,1,0,100.0,1,374.3874696479999,374.3874696479999,374.3874696479999,1254.3387730047646,0.0
2025-05,3,2,0,66.66666666666666,3,566.8328269042202,0.0,895.1293288978195,2149.468101902584,0.0
2025-06,6,2,2,33.33333333333333,7,374.41398958333383,-59.63108750764302,334.6791035156908,2484.1472054182746,-33.015873600000006
2025-07,3,0,0,0.0,3,0.0,0.0,0.0,2484.1472054182746,0.0
2025-08,2,0,1,0.0,2,0.0,-73.43091038295987,-73.43091038295987,2410.7162950353145,-73.43091038295987
2025-09,7,1,4,14.285714285714285,10,64.01571864733417,-104.53622666666642,-177.8524550993298,2232.8638399359847,-230.33493594666413
2025-10,6,3,1,50.0,7,549.8352255943205,-14.534010186666677,1115.2798092016544,3348.143649137639,-14.534010186666706
2025-11,2,1,1,50.0,2,324.34562360000064,-138.0925538,186.25306980000065,3534.3967189376394,0.0
2025-12,5,1,2,20.0,6,550.5376784000011,-205.5692613333328,230.68863768000153,3765.085356617641,-205.5692613333328
2026-01,4,1,3,25.0,4,38.545917423999576,-131.22809794630305,-184.89262552230232,3580.192731095339,-223.4385429463019
2026-02,6,1,2,16.666666666666664,7,181.3391734666672,-100.1521313333335,63.10395113333375,3643.2966822286726,-100.1521313333335
2026-03,2,2,0,100.0,2,1883.0483406733333,278.70000349333384,2161.7483441666673,5805.04502639534,0.0
2026-04,5,1,2,20.0,5,497.9156127733337,-71.02934471285718,410.6090968604775,6215.6541232558175,-71.02934471285715
2026-05,2,0,2,0.0,3,-65.46087844666651,-170.59983455321427,-236.06071299988076,5979.593410255937,-170.59983455321424
2026-06,6,0,2,0.0,9,0.0,-128.97240966904755,-168.74498181571403,5810.848428440223,-168.74498181571403
2026-07,7,3,4,42.857142857142854,9,115.53391527866626,-142.64380000000008,-116.14761705321312,5694.70081138701,-146.63693199999994
2026-08,6,1,2,16.666666666666664,9,140.00499000000022,-139.08673533333334,-47.410333333332915,5647.290478053676,-187.41532333333313
