month,days,green,red,day_wr_pct,picks,best_day,worst_day,pnl,cum_pnl,intra_dd
2025-01,6,1,2,16.666666666666664,8,600.1464727959996,-225.77034417390504,228.29265262209472,228.29265262209472,-225.77034417390504
2025-02,5,2,1,40.0,6,438.2268440639998,-69.98950085214314,633.5354474651897,861.8281000872844,-69.98950085214312
2025-03,3,1,1,33.33333333333333,3,81.50797653592022,-196.78073170644038,-115.27275517052016,746.5553449167642,0.0
2025-04,1,1,0,100.0,1,374.3874696479999,374.3874696479999,374.3874696479999,1120.9428145647641,0.0
2025-05,4,2,0,50.0,4,566.8328269042202,0.0,895.1293288978195,2016.0721434625837,0.0
2025-06,9,3,2,33.33333333333333,10,374.41398958333383,-131.4907520991432,493.44337314654854,2509.515516609132,-131.4907520991432
2025-07,3,0,0,0.0,3,0.0,0.0,0.0,2509.515516609132,0.0
2025-08,3,1,1,33.33333333333333,3,157.91378444799994,-73.43091038295987,84.48287406504008,2593.9983906741722,-73.43091038295987
2025-09,8,1,4,12.5,11,64.01571864733417,-150.4392257199957,-341.16512933932734,2252.833261334845,-391.25189238666195
2025-10,6,3,1,50.0,7,546.4235567980004,-46.93232485333368,1054.6891615349878,3307.5224228698326,-46.93232485333368
2025-11,5,1,3,20.0,5,324.34562360000064,-138.09255379999996,-39.327446143332395,3268.1949767265,-122.81668695999966
2025-12,7,1,3,14.285714285714285,8,550.5376784000011,-205.5692613333328,81.89155768000194,3350.086534406502,-205.5692613333328
2026-01,5,1,3,20.0,5,38.545917423999576,-158.30056000000005,-351.51691552230153,2998.5696188842003,-390.0628329463011
2026-02,6,2,2,33.33333333333333,8,743.3404914580007,-100.1521313333335,795.1982278713346,3793.7678467555347,-100.15213133333349
2026-03,3,2,0,66.66666666666666,3,1883.0483406733333,0.0,2161.7483441666673,5955.516190922202,0.0
2026-04,7,2,1,28.57142857142857,8,497.9156127733337,-71.02934471285717,484.3197669412776,6439.83595786348,-71.02934471285715
2026-05,2,0,2,0.0,4,-65.46087844666651,-403.5716678865481,-469.0325463332146,5970.803411530265,-403.5716678865481
2026-06,6,1,1,16.666666666666664,9,262.73996796666756,-128.97240966904752,133.76755829762004,6104.570969827885,-128.97240966904752
2026-07,8,4,3,50.0,11,475.8057217380004,-151.41837979999718,324.1971894047889,6428.768159232674,-203.66831358666445
2026-08,8,1,4,12.5,12,140.00499000000022,-139.0867353333333,-245.06088422399895,6183.707275008675,-268.10472079733313
2026-09,1,0,0,0.0,1,0.0,0.0,0.0,6183.707275008675,0.0
