symbol,date,vol_open5,n_prior,rvol_open5
APM,2025-01-02,261632.0,9,
ATCH,2025-01-02,30253.0,14,0.4353383636395406
CALY,2025-01-02,681417.0,14,8.133485206439715
ETHT,2025-01-02,159888.0,14,2.95441340870605
ETHU,2025-01-02,2241253.0,14,2.856934924249329
GRRR,2025-01-02,377318.0,14,1.3765856612804956
HOLO,2025-01-02,2964845.0,14,2.26651516460369
ICG,2025-01-02,15510.0,10,1.1797009294613383
INTZ,2025-01-02,872698.0,14,0.8246365335515486
IVDA,2025-01-02,39585.0,14,1.0843232053657554
KULR,2025-01-02,2926306.0,14,0.802511761344592
LAES,2025-01-02,5292266.0,14,0.9466143399191662
MLGO,2025-01-02,618930.0,14,1.1882485845955617
MSTU,2025-01-02,3235950.0,14,1.9883153507040625
NUAI,2025-01-02,154792.0,14,7.499145263653289
OST,2025-01-02,52503.0,14,2.078703415666024
PONY,2025-01-02,97408.0,14,1.953467851218597
RGTI,2025-01-02,8699637.0,14,0.8133701378420727
RGTIW,2025-01-02,67576.0,14,0.5592469002615751
SATL,2025-01-02,28361.0,14,0.379504207431536
SPCB,2025-01-02,682140.0,14,53.670456397489
TSLQ,2025-01-02,3370684.0,14,6.576284470408544
U,2025-01-02,4795404.0,14,16.4611721436584
XPON,2025-01-02,3192471.0,14,362.5806697601973
ZVIA,2025-01-02,84899.0,14,1.6837308265479005
CRNC,2025-01-03,9790053.0,14,85.06258141753237
KC,2025-01-03,234897.0,14,0.5945657450472562
KORU,2025-01-03,386638.0,14,1.935472475040208
MNSO,2025-01-03,138496.0,14,3.2197621724307997
ONDS,2025-01-03,5418156.0,14,6.586686960242745
QSI,2025-01-03,12112981.0,14,5.5961483396442535
RGP,2025-01-03,68075.0,14,6.501377974241432
SIDU,2025-01-03,349283.0,14,0.21354361793299964
SPCB,2025-01-03,3037099.0,14,49.473131466389894
ZYME,2025-01-03,155416.0,14,8.893437697982874
ALLT,2025-01-06,165362.0,14,3.1168662614186373
AMDL,2025-01-06,2082796.0,14,3.605708414518769
AMPG,2025-01-06,1898303.0,14,2.342509164445978
AMPX,2025-01-06,830218.0,14,3.687607751714668
ARBE,2025-01-06,9988550.0,14,139.51254308646224
ASAN,2025-01-06,385621.0,14,2.0285462964250245
ASPN,2025-01-06,150443.0,14,3.031780258756197
CMTL,2025-01-06,148349.0,14,4.204188630051578
CPRI,2025-01-06,277322.0,14,2.8104606105618086
CRNC,2025-01-06,7656726.0,14,9.507180529369474
DFNS,2025-01-06,46301.0,14,0.1293961708982679
FUBO,2025-01-06,25052498.0,14,55.42055567353832
GXAI,2025-01-06,163233.0,14,0.884290075804186
IDAI,2025-01-06,26239.0,14,0.07405148161019731
KITT,2025-01-06,2588354.0,14,15.115654901967327
KORU,2025-01-06,832546.0,14,3.8107326272233766
KTOS,2025-01-06,391727.0,14,5.511121874846123
KULR,2025-01-06,6902182.0,14,1.7633883492900855
LAES,2025-01-06,12813232.0,14,2.9968102228968183
LCID,2025-01-06,15521567.0,14,4.566905162912748
LTBR,2025-01-06,241501.0,14,5.3738625689213695
MP,2025-01-06,437597.0,14,6.755788013422567
MSTU,2025-01-06,4163160.0,14,2.125418967532138
NUAI,2025-01-06,73845.0,14,2.357280154320073
NVDX,2025-01-06,1599878.0,14,2.6765731324220816
ONDS,2025-01-06,1445645.0,14,1.2161123135951168
OPTX,2025-01-06,48772.0,14,0.15134417229804611
OSCR,2025-01-06,179958.0,14,1.7166299867134536
PATH,2025-01-06,1373274.0,14,4.505888101808722
PBYI,2025-01-06,226315.0,14,6.599548006123788
PDYN,2025-01-06,617976.0,14,0.6672702565688992
PPTA,2025-01-06,347667.0,14,11.073305790388483
PTLE,2025-01-06,75346.0,14,1.2205042642973427
QS,2025-01-06,3031839.0,14,3.3968360722685484
RR,2025-01-06,7764314.0,14,4.743780738452537
SEDG,2025-01-06,764707.0,14,2.6571813703651213
SERV,2025-01-06,3087511.0,14,4.4202448024599885
SKYT,2025-01-06,179234.0,14,1.3066226348383616
SMR,2025-01-06,1273275.0,14,2.346960459189719
SOWG,2025-01-06,49054.0,14,4.975987943252134
STM,2025-01-06,565364.0,14,3.4623020464297167
SYM,2025-01-06,273588.0,14,4.683024879660887
TSLL,2025-01-06,6859315.0,14,1.7087361292784768
UNG,2025-01-06,1697383.0,14,5.712083000015384
VECO,2025-01-06,30942.0,14,1.725353683405557
VUZI,2025-01-06,358022.0,14,1.6729056338277315
WOLF,2025-01-06,1247739.0,14,3.0041930260694745
ARBE,2025-01-07,5351345.0,14,6.821567781374261
AUR,2025-01-07,14560941.0,14,41.086077266823764
BMEA,2025-01-07,131027.0,14,2.422059171097611
DHT,2025-01-07,74374.0,14,1.1030579879951778
ENVX,2025-01-07,3304067.0,14,9.021964457036242
FRO,2025-01-07,789009.0,14,5.095370351150319
FUBO,2025-01-07,21355113.0,14,9.590098574734194
GETY,2025-01-07,2498311.0,14,110.34246324689255
IMRX,2025-01-07,13876817.0,14,770.2343426013663
MOB,2025-01-07,74670.0,14,1.8264761997945307
MSAI,2025-01-07,1462553.0,13,291.430066982419
MSTZ,2025-01-07,1089767.0,14,1.7831303644137306
MUU,2025-01-07,45492.0,14,1.0094560024852517
NRXP,2025-01-07,234287.0,14,1.6425459121613333
NVNI,2025-01-07,74121.0,13,0.2524111493621175
PBYI,2025-01-07,176155.0,14,3.645220080142015
SATL,2025-01-07,129878.0,14,2.029047092445189
SMST,2025-01-07,879413.0,14,0.8770081184523296
ZENA,2025-01-07,344077.0,14,4.6526127904696875
ABSI,2025-01-08,7029001.0,14,68.00781350964526
ANGO,2025-01-08,439604.0,14,28.56399736380429
SANA,2025-01-08,22715831.0,14,322.67427436202604
SLDB,2025-01-08,227267.0,14,18.073127783331817
VIR,2025-01-08,6200919.0,14,209.81910859429945
AIV,2025-01-10,194221.0,14,6.217672763693156
AMPX,2025-01-10,307181.0,14,0.9802021472878553
API,2025-01-10,106843.0,14,2.327676248334931
ARHS,2025-01-10,602943.0,14,25.886587505060046
BAER,2025-01-10,3141940.0,14,439.5331594672102
BCRX,2025-01-10,479855.0,14,8.716180536544417
CDZI,2025-01-10,211143.0,14,7.535112427574006
CPRI,2025-01-10,404595.0,14,5.533771723722222
DHT,2025-01-10,77864.0,14,1.2260213038994165
FRO,2025-01-10,1152455.0,14,5.694649009212386
FUBO,2025-01-10,8293444.0,14,2.0576225391441634
GFI,2025-01-10,423564.0,14,4.567737343563807
HAFN,2025-01-10,487272.0,14,3.0058227889374503
HMY,2025-01-10,1116524.0,14,6.443690340154899
INDO,2025-01-10,503444.0,14,16.336113106964888
KITT,2025-01-10,641675.0,14,1.5737652132797897
