month,days,green,red,day_wr_pct,picks,best_day,worst_day,pnl,cum_pnl,intra_dd
2025-01,6,1,2,16.666666666666664,8,600.1464727959996,-225.77034417390504,228.29265262209472,228.29265262209472,-225.77034417390504
2025-02,5,2,1,40.0,6,438.2268440639998,-69.98950085214314,633.5354474651897,861.8281000872844,-69.98950085214312
2025-03,3,1,1,33.33333333333333,3,81.50797653592022,-63.384773266439865,18.123203269480356,879.9513033567647,0.0
2025-04,1,1,0,100.0,1,374.3874696479999,374.3874696479999,374.3874696479999,1254.3387730047646,0.0
2025-05,3,2,0,66.66666666666666,3,566.8328269042202,0.0,895.1293288978195,2149.468101902584,0.0
2025-06,8,2,3,25.0,9,374.41398958333383,-59.63108750764302,292.03983951569137,2441.507941418275,-75.65513759999949
2025-07,3,0,0,0.0,3,0.0,0.0,0.0,2441.507941418275,0.0
2025-08,1,0,0,0.0,1,0.0,0.0,0.0,2441.507941418275,0.0
2025-09,8,1,4,12.5,11,64.01571864733417,-104.53622666666642,-177.8524550993298,2263.6554863189453,-230.33493594666413
2025-10,6,2,2,33.33333333333333,6,546.4235567980004,-14.534010186666677,559.5427777673342,2823.19826408628,-14.534010186666679
2025-11,2,1,1,50.0,2,324.34562360000064,-138.0925538,186.25306980000065,3009.4513338862803,0.0
2025-12,7,1,3,14.285714285714285,8,550.5376784000011,-205.5692613333328,81.89155768000194,3091.342891566282,-205.5692613333328
2026-01,3,0,3,0.0,3,-32.904904999999836,-131.22809794630305,-223.4385429463019,2867.9043486199803,-190.53363794630206
2026-02,5,1,1,20.0,6,743.3404914580007,-18.083090999999953,725.2574004580007,3593.161749077981,0.0
2026-03,2,2,0,100.0,2,1883.0483406733333,278.70000349333384,2161.7483441666673,5754.910093244648,0.0
2026-04,7,1,2,14.285714285714285,8,497.9156127733337,-71.02934471285718,410.6090968604775,6165.519190105126,-71.02934471285715
2026-05,2,0,2,0.0,3,-65.46087844666651,-170.59983455321427,-236.06071299988076,5929.458477105245,-170.59983455321424
2026-06,5,0,2,0.0,6,0.0,-128.97240966904755,-168.74498181571403,5760.713495289531,-168.74498181571403
2026-07,8,3,4,37.5,10,115.53391527866626,-142.64380000000008,-116.14761705321311,5644.565878236318,-146.63693199999994
2026-08,8,1,4,12.5,11,140.00499000000022,-139.08673533333334,-164.37148675999893,5480.194391476319,-187.4153233333331
