period_end,days,pnl_price,pnl_borrow,pnl_txn,pnl_net
2019-02-28,28,-463.48,-99.85,-32.54,-595.88
2019-03-29,29,1130.33,-103.42,-32.54,994.37
2019-04-30,32,-2546.4,-114.12,-32.54,-2693.06
2019-05-31,31,-6842.1,-110.55,-32.54,-6985.19
2019-06-28,28,-2304.91,-99.85,-32.54,-2437.31
2019-07-31,33,431.12,-117.68,-32.54,280.9
2019-08-30,30,2689.86,-106.99,-32.54,2550.33
2019-09-30,31,683.28,-110.55,-32.54,540.19
2019-10-31,31,775.47,-110.55,-32.54,632.38
2019-11-29,29,170.93,-103.42,-32.54,34.97
2019-12-31,32,-958.69,-114.12,-32.54,-1105.35
2020-01-31,31,1501.03,-110.55,-32.54,1357.94
2020-02-28,28,2614.55,-99.85,-32.54,2482.16
2020-03-31,32,26700.38,-114.12,-32.54,26553.72
2020-04-30,30,2567.88,-106.99,-32.54,2428.35
2020-05-29,29,2304.52,-103.42,-32.54,2168.56
2020-06-30,32,726.67,-114.12,-32.54,580.01
2020-07-31,31,424.36,-110.55,-32.54,281.26
2020-08-31,31,-68.65,-110.55,-32.54,-211.75
2020-09-30,30,3231.0,-106.99,-32.54,3091.47
2020-10-30,30,2100.62,-106.99,-32.54,1961.09
2020-11-30,31,-6443.86,-110.55,-32.54,-6586.96
2020-12-31,31,114.17,-110.55,-32.54,-28.92
2021-01-29,29,2072.67,-103.42,-32.54,1936.71
2021-02-26,28,2269.19,-99.85,-32.54,2136.8
2021-03-31,33,6299.49,-117.68,-32.54,6149.26
2021-04-30,30,1948.15,-106.99,-32.54,1808.62
2021-05-28,28,2138.96,-99.85,-32.54,2006.57
2021-06-30,33,347.02,-117.68,-32.54,196.79
2021-07-30,30,1263.71,-106.99,-32.54,1124.18
2021-08-31,32,893.41,-114.12,-32.54,746.75
2021-09-30,30,527.15,-106.99,-32.54,387.62
2021-10-29,29,-73.38,-103.42,-32.54,-209.34
2021-11-30,32,-1378.47,-114.12,-32.54,-1525.13
2021-12-31,31,2602.87,-110.55,-32.54,2459.78
2022-01-31,31,837.55,-110.55,-32.54,694.46
2022-02-28,28,4343.16,-99.85,-32.54,4210.76
2022-03-31,31,5767.86,-110.55,-32.54,5624.77
2022-04-29,29,-2448.27,-103.42,-32.54,-2584.23
2022-05-31,32,5167.17,-114.12,-32.54,5020.51
2022-06-30,30,-4985.26,-106.99,-32.54,-5124.78
2022-07-29,29,-3420.38,-103.42,-32.54,-3556.35
2022-08-31,33,1976.32,-117.68,-32.54,1826.09
2022-09-30,30,-3354.72,-106.99,-32.54,-3494.25
2022-10-31,31,4994.93,-110.55,-32.54,4851.83
2022-11-30,30,-1789.94,-106.99,-32.54,-1929.47
2022-12-30,30,-689.36,-106.99,-32.54,-828.89
2023-01-31,32,-3609.02,-114.12,-32.54,-3755.68
2023-02-28,28,2581.75,-99.85,-32.54,2449.35
2023-03-31,31,-4.86,-110.55,-32.54,-147.95
2023-04-28,28,-1047.89,-99.85,-32.54,-1180.29
2023-05-31,33,-2784.09,-117.68,-32.54,-2934.31
2023-06-30,30,280.27,-106.99,-32.54,140.74
2023-07-31,31,652.29,-110.55,-32.54,509.2
2023-08-31,31,1432.61,-110.55,-32.54,1289.51
2023-09-29,29,-860.79,-103.42,-32.54,-996.75
2023-10-31,32,-11.67,-114.12,-32.54,-158.33
2023-11-30,30,-5007.95,-106.99,-32.54,-5147.48
2023-12-29,29,-2467.08,-103.42,-32.54,-2603.04
2024-01-31,33,1901.73,-117.68,-32.54,1751.51
2024-02-29,29,-1453.56,-103.42,-32.54,-1589.53
2024-03-28,28,1893.23,-99.85,-32.54,1760.83
2024-04-30,33,1308.42,-117.68,-32.54,1158.19
2024-05-31,31,-837.34,-110.55,-32.54,-980.43
2024-06-28,28,798.32,-99.85,-32.54,665.93
2024-07-31,33,5400.22,-117.68,-32.54,5249.99
2024-08-30,30,5964.72,-106.99,-32.54,5825.19
2024-09-30,31,4092.33,-110.55,-32.54,3949.24
2024-10-31,31,1295.52,-110.55,-32.54,1152.43
2024-11-29,29,1392.0,-103.42,-32.54,1256.04
2024-12-31,32,1999.11,-114.12,-32.54,1852.45
2025-01-31,31,3029.74,-110.55,-32.54,2886.65
2025-02-28,28,1614.31,-99.85,-32.54,1481.91
2025-03-31,31,581.98,-110.55,-32.54,438.88
2025-04-30,30,19096.54,-106.99,-32.54,18957.01
2025-05-30,30,-541.77,-106.99,-32.54,-681.3
2025-06-30,31,-5559.74,-110.55,-32.54,-5702.83
2025-07-31,31,869.88,-110.55,-32.54,726.79
2025-08-29,29,1062.84,-103.42,-32.54,926.88
2025-09-30,32,-2280.94,-114.12,-32.54,-2427.6
2025-10-31,31,-439.62,-110.55,-32.54,-582.71
2025-11-28,28,3365.35,-99.85,-32.54,3232.95
2025-12-31,33,1841.71,-117.68,-32.54,1691.48
2026-01-30,30,-3242.32,-106.99,-32.54,-3381.85
2026-02-27,28,2457.37,-99.85,-32.54,2324.97
2026-03-31,32,3746.02,-114.12,-32.54,3599.36
2026-04-30,30,-32022.03,-106.99,-32.54,-32161.56
2026-05-29,29,-7895.91,-103.42,-32.54,-8031.87
2026-06-30,32,9547.12,-114.12,-32.54,9400.46
2026-07-31,31,-3420.26,-110.55,-32.54,-3563.35
2026-08-31,31,3695.96,-110.55,-32.54,3552.86
2026-09-24,24,232.23,-85.59,-32.54,114.1
