period_end,days,pnl_price,pnl_borrow,pnl_txn,pnl_net
2019-01-11,7,-695.32,-24.96,-32.54,-752.83
2019-01-18,7,252.35,-24.96,-32.54,194.84
2019-01-25,7,743.69,-24.96,-32.54,686.18
2019-02-01,7,497.7,-24.96,-32.54,440.2
2019-02-08,7,320.92,-24.96,-32.54,263.42
2019-02-15,7,-335.03,-24.96,-32.54,-392.53
2019-02-22,7,29.21,-24.96,-32.54,-28.3
2019-03-01,7,168.99,-24.96,-32.54,111.48
2019-03-08,7,-196.63,-24.96,-32.54,-254.13
2019-03-15,7,-468.46,-24.96,-32.54,-525.97
2019-03-22,7,668.44,-24.96,-32.54,610.93
2019-03-29,7,200.9,-24.96,-32.54,143.4
2019-04-05,7,-628.9,-24.96,-32.54,-686.41
2019-04-12,7,23.44,-24.96,-32.54,-34.06
2019-04-18,6,-70.48,-21.4,-32.54,-124.42
2019-04-26,8,94.66,-28.53,-32.54,33.59
2019-05-03,7,28.03,-24.96,-32.54,-29.48
2019-05-10,7,-701.87,-24.96,-32.54,-759.38
2019-05-17,7,177.86,-24.96,-32.54,120.36
2019-05-24,7,-398.67,-24.96,-32.54,-456.18
2019-05-31,7,144.91,-24.96,-32.54,87.4
2019-06-07,7,-598.82,-24.96,-32.54,-656.32
2019-06-14,7,486.13,-24.96,-32.54,428.63
2019-06-21,7,111.56,-24.96,-32.54,54.06
2019-06-28,7,8.42,-24.96,-32.54,-49.09
2019-07-05,7,304.87,-24.96,-32.54,247.37
2019-07-12,7,-66.34,-24.96,-32.54,-123.84
2019-07-19,7,84.37,-24.96,-32.54,26.86
2019-07-26,7,-95.33,-24.96,-32.54,-152.84
2019-08-02,7,-813.66,-24.96,-32.54,-871.17
2019-08-09,7,820.84,-24.96,-32.54,763.34
2019-08-16,7,824.35,-24.96,-32.54,766.84
2019-08-23,7,482.28,-24.96,-32.54,424.77
2019-08-30,7,-211.29,-24.96,-32.54,-268.79
2019-09-06,7,42.64,-24.96,-32.54,-14.86
2019-09-13,7,-85.87,-24.96,-32.54,-143.38
2019-09-20,7,-83.89,-24.96,-32.54,-141.39
2019-09-27,7,345.57,-24.96,-32.54,288.06
2019-10-04,7,123.03,-24.96,-32.54,65.52
