period_end,days,pnl_price,pnl_borrow,pnl_txn,pnl_net
2019-02-28,28,-201.91,-99.85,-32.54,-334.31
2019-03-29,29,226.78,-103.42,-32.54,90.82
2019-04-30,32,-376.34,-114.12,-32.54,-523.0
2019-05-31,31,-829.48,-110.55,-32.54,-972.57
2019-06-28,28,-1003.58,-99.85,-32.54,-1135.98
2019-07-31,33,182.23,-117.68,-32.54,32.0
2019-08-30,30,1031.28,-106.99,-32.54,891.75
2019-09-30,31,92.66,-110.55,-32.54,-50.44
2019-10-31,31,262.97,-110.55,-32.54,119.87
2019-11-29,29,-298.76,-103.42,-32.54,-434.72
2019-12-31,32,-81.05,-114.12,-32.54,-227.71
2020-01-31,31,287.66,-110.55,-32.54,144.57
2020-02-28,28,-729.39,-99.85,-32.54,-861.78
2020-03-31,32,17003.95,-114.12,-32.54,16857.29
2020-04-30,30,-366.72,-106.99,-32.54,-506.25
2020-05-29,29,527.71,-103.42,-32.54,391.75
2020-06-30,32,2030.52,-114.12,-32.54,1883.86
2020-07-31,31,-357.5,-110.55,-32.54,-500.6
2020-08-31,31,-1008.5,-110.55,-32.54,-1151.59
2020-09-30,30,1256.25,-106.99,-32.54,1116.73
2020-10-30,30,746.25,-106.99,-32.54,606.73
2020-11-30,31,-2339.79,-110.55,-32.54,-2482.88
2020-12-31,31,-66.15,-110.55,-32.54,-209.25
2021-01-29,29,658.27,-103.42,-32.54,522.31
2021-02-26,28,23.39,-99.85,-32.54,-109.01
2021-03-31,33,402.36,-117.68,-32.54,252.14
2021-04-30,30,-416.11,-106.99,-32.54,-555.64
2021-05-28,28,504.18,-99.85,-32.54,371.79
2021-06-30,33,110.0,-117.68,-32.54,-40.22
2021-07-30,30,269.26,-106.99,-32.54,129.73
2021-08-31,32,-47.91,-114.12,-32.54,-194.57
2021-09-30,30,-149.94,-106.99,-32.54,-289.47
2021-10-29,29,-882.13,-103.42,-32.54,-1018.09
2021-11-30,32,415.79,-114.12,-32.54,269.13
2021-12-31,31,225.99,-110.55,-32.54,82.89
2022-01-31,31,14.27,-110.55,-32.54,-128.83
2022-02-28,28,1012.66,-99.85,-32.54,880.27
2022-03-31,31,944.25,-110.55,-32.54,801.15
2022-04-29,29,-817.69,-103.42,-32.54,-953.65
2022-05-31,32,2291.52,-114.12,-32.54,2144.86
2022-06-30,30,147.44,-106.99,-32.54,7.91
2022-07-29,29,-1461.23,-103.42,-32.54,-1597.19
2022-08-31,33,483.78,-117.68,-32.54,333.55
2022-09-30,30,-1322.59,-106.99,-32.54,-1462.12
2022-10-31,31,46.68,-110.55,-32.54,-96.42
2022-11-30,30,905.59,-106.99,-32.54,766.06
2022-12-30,30,-455.28,-106.99,-32.54,-594.81
2023-01-31,32,-439.05,-114.12,-32.54,-585.71
2023-02-28,28,133.26,-99.85,-32.54,0.87
2023-03-31,31,383.86,-110.55,-32.54,240.77
2023-04-28,28,70.57,-99.85,-32.54,-61.82
2023-05-31,33,268.2,-117.68,-32.54,117.98
2023-06-30,30,-875.22,-106.99,-32.54,-1014.75
2023-07-31,31,-300.68,-110.55,-32.54,-443.78
2023-08-31,31,49.13,-110.55,-32.54,-93.96
2023-09-29,29,-738.47,-103.42,-32.54,-874.43
2023-10-31,32,169.26,-114.12,-32.54,22.6
2023-11-30,30,-1929.27,-106.99,-32.54,-2068.8
2023-12-29,29,-463.1,-103.42,-32.54,-599.06
2024-01-31,33,67.56,-117.68,-32.54,-82.66
2024-02-29,29,-476.95,-103.42,-32.54,-612.91
2024-03-28,28,-238.97,-99.85,-32.54,-371.36
2024-04-30,33,-355.54,-117.68,-32.54,-505.77
2024-05-31,31,-604.75,-110.55,-32.54,-747.85
2024-06-28,28,-387.41,-99.85,-32.54,-519.81
2024-07-31,33,279.63,-117.68,-32.54,129.4
2024-08-30,30,583.91,-106.99,-32.54,444.38
2024-09-30,31,106.62,-110.55,-32.54,-36.48
2024-10-31,31,141.69,-110.55,-32.54,-1.41
2024-11-29,29,-702.45,-103.42,-32.54,-838.41
2024-12-31,32,29.0,-114.12,-32.54,-117.66
2025-01-31,31,157.67,-110.55,-32.54,14.58
2025-02-28,28,82.59,-99.85,-32.54,-49.8
2025-03-31,31,-144.07,-110.55,-32.54,-287.16
2025-04-30,30,5362.47,-106.99,-32.54,5222.95
2025-05-30,30,-383.92,-106.99,-32.54,-523.45
2025-06-30,31,-528.23,-110.55,-32.54,-671.32
2025-07-31,31,-267.26,-110.55,-32.54,-410.36
2025-08-29,29,126.43,-103.42,-32.54,-9.53
2025-09-30,32,-345.6,-114.12,-32.54,-492.26
2025-10-31,31,196.83,-110.55,-32.54,53.73
2025-11-28,28,352.15,-99.85,-32.54,219.76
2025-12-31,33,46.47,-117.68,-32.54,-103.76
2026-01-30,30,70.88,-106.99,-32.54,-68.64
2026-02-27,28,231.85,-99.85,-32.54,99.46
2026-03-31,32,-158.22,-114.12,-32.54,-304.88
2026-04-30,30,-2423.04,-106.99,-32.54,-2562.56
2026-05-29,29,-601.22,-103.42,-32.54,-737.18
2026-06-30,32,537.11,-114.12,-32.54,390.45
2026-07-31,31,196.41,-110.55,-32.54,53.31
2026-08-31,31,-48.16,-110.55,-32.54,-191.25
2026-09-24,24,150.29,-85.59,-32.54,32.16
