period_end,days,pnl_price,pnl_borrow,pnl_txn,pnl_net
2019-01-11,7,-174.38,-24.96,-32.54,-231.88
2019-01-18,7,-107.64,-24.96,-32.54,-165.15
2019-01-25,7,-22.7,-24.96,-32.54,-80.21
2019-02-01,7,100.7,-24.96,-32.54,43.2
2019-02-08,7,63.77,-24.96,-32.54,6.26
2019-02-15,7,-140.01,-24.96,-32.54,-197.52
2019-02-22,7,-55.36,-24.96,-32.54,-112.86
2019-03-01,7,69.28,-24.96,-32.54,11.77
2019-03-08,7,-116.31,-24.96,-32.54,-173.82
2019-03-15,7,-183.42,-24.96,-32.54,-240.92
2019-03-22,7,109.91,-24.96,-32.54,52.4
2019-03-29,7,-8.46,-24.96,-32.54,-65.96
2019-04-05,7,-96.67,-24.96,-32.54,-154.17
2019-04-12,7,-3.73,-24.96,-32.54,-61.23
2019-04-18,6,-22.74,-21.4,-32.54,-76.68
2019-04-26,8,13.71,-28.53,-32.54,-47.36
2019-05-03,7,11.52,-24.96,-32.54,-45.99
2019-05-10,7,-21.13,-24.96,-32.54,-78.63
2019-05-17,7,135.77,-24.96,-32.54,78.27
2019-05-24,7,80.08,-24.96,-32.54,22.57
2019-05-31,7,-147.88,-24.96,-32.54,-205.39
2019-06-07,7,-359.56,-24.96,-32.54,-417.06
2019-06-14,7,5.5,-24.96,-32.54,-52.0
2019-06-21,7,-69.79,-24.96,-32.54,-127.3
2019-06-28,7,-9.45,-24.96,-32.54,-66.95
2019-07-05,7,-31.6,-24.96,-32.54,-89.11
2019-07-12,7,-16.96,-24.96,-32.54,-74.47
2019-07-19,7,-13.66,-24.96,-32.54,-71.16
2019-07-26,7,-37.57,-24.96,-32.54,-95.08
2019-08-02,7,-204.14,-24.96,-32.54,-261.64
2019-08-09,7,422.97,-24.96,-32.54,365.47
2019-08-16,7,400.72,-24.96,-32.54,343.22
2019-08-23,7,140.0,-24.96,-32.54,82.5
2019-08-30,7,-106.44,-24.96,-32.54,-163.95
2019-09-06,7,40.41,-24.96,-32.54,-17.1
2019-09-13,7,-33.74,-24.96,-32.54,-91.24
2019-09-20,7,-41.02,-24.96,-32.54,-98.52
2019-09-27,7,68.48,-24.96,-32.54,10.97
2019-10-04,7,137.6,-24.96,-32.54,80.1
2019-10-11,7,145.65,-24.96,-32.54,88.14
2019-10-18,7,42.89,-24.96,-32.54,-14.61
2019-10-25,7,-39.3,-24.96,-32.54,-96.8
2019-11-01,7,-43.52,-24.96,-32.54,-101.03
2019-11-08,7,2.79,-24.96,-32.54,-54.71
2019-11-15,7,-22.57,-24.96,-32.54,-80.08
2019-11-22,7,-17.07,-24.96,-32.54,-74.58
2019-11-29,7,5.65,-24.96,-32.54,-51.86
2019-12-06,7,57.43,-24.96,-32.54,-0.08
2019-12-13,7,30.74,-24.96,-32.54,-26.77
2019-12-20,7,-78.92,-24.96,-32.54,-136.43
2019-12-27,7,3.74,-24.96,-32.54,-53.77
2020-01-03,7,99.85,-24.96,-32.54,42.34
2020-01-10,7,-45.08,-24.96,-32.54,-102.59
2020-01-17,7,-109.4,-24.96,-32.54,-166.91
2020-01-24,7,-8.46,-24.96,-32.54,-65.97
2020-01-31,7,82.05,-24.96,-32.54,24.55
2020-02-07,7,-117.32,-24.96,-32.54,-174.83
