period_end,days,pnl_price,pnl_borrow,pnl_txn,pnl_net
2022-04-29,29,-2433.66,0.0,-4.88,-2438.55
2022-05-31,32,750.25,0.0,-4.88,745.37
2022-06-30,30,-817.12,0.0,-4.88,-822.0
2022-07-29,29,2262.26,0.0,-4.88,2257.38
2022-08-31,33,-304.84,0.0,-4.88,-309.72
2022-09-30,30,-1651.99,0.0,-4.88,-1656.87
2022-10-31,31,1732.81,0.0,-4.88,1727.93
2022-11-30,30,1624.4,0.0,-4.88,1619.52
2022-12-30,30,344.72,0.0,-4.88,339.84
2023-01-31,32,2210.87,0.0,-4.88,2205.99
2023-02-28,28,-325.78,0.0,-4.88,-330.66
2023-03-31,31,-488.69,0.0,-4.88,-493.57
2023-04-28,28,1623.14,0.0,-4.88,1618.26
2023-05-31,33,687.0,0.0,-4.88,682.12
2023-06-30,30,3533.63,0.0,-4.88,3528.74
2023-07-31,31,810.35,0.0,-4.88,805.47
2023-08-31,31,205.53,0.0,-4.88,200.64
2023-09-29,29,-993.86,0.0,-4.88,-998.74
2023-10-31,32,-689.82,0.0,-4.88,-694.7
2023-11-30,30,3266.72,0.0,-4.88,3261.84
2023-12-29,29,889.29,0.0,-4.88,884.41
2024-01-31,33,-15.52,0.0,-4.88,-20.41
2024-02-29,29,945.93,0.0,-4.88,941.04
2024-03-28,28,245.72,0.0,-4.88,240.83
2024-04-30,33,-707.53,0.0,-4.88,-712.41
2024-05-31,31,1547.98,0.0,-4.88,1543.1
2024-06-28,28,461.1,0.0,-4.88,456.22
2024-07-31,33,-847.84,0.0,-4.88,-852.72
2024-08-30,30,-2597.05,0.0,-4.88,-2601.93
2024-09-30,31,-1491.11,0.0,-4.88,-1495.99
2024-10-31,31,-1655.33,0.0,-4.88,-1660.21
2024-11-29,29,2987.8,0.0,-4.88,2982.92
2024-12-31,32,-1326.71,0.0,-4.88,-1331.59
2025-01-31,31,3.85,0.0,-4.88,-1.03
2025-02-28,28,-419.27,0.0,-4.88,-424.15
2025-03-31,31,-1587.56,0.0,-4.88,-1592.44
2025-04-30,30,-3815.72,0.0,-4.88,-3820.6
2025-05-30,30,1441.91,0.0,-4.88,1437.03
2025-06-30,31,885.63,0.0,-4.88,880.74
2025-07-31,31,1189.62,0.0,-4.88,1184.74
2025-08-29,29,1307.27,0.0,-4.88,1302.39
2025-09-30,32,816.43,0.0,-4.88,811.54
2025-10-31,31,-739.72,0.0,-4.88,-744.6
2025-11-28,28,237.15,0.0,-4.88,232.26
2025-12-31,33,1924.52,0.0,-4.88,1919.64
2026-01-30,30,-616.45,0.0,-4.88,-621.33
2026-02-27,28,-692.4,0.0,-4.88,-697.29
2026-03-31,32,-2490.38,0.0,-4.88,-2495.26
2026-04-30,30,2299.25,0.0,-4.88,2294.36
2026-05-29,29,1513.91,0.0,-4.88,1509.03
2026-06-30,32,592.19,0.0,-4.88,587.31
2026-07-31,31,176.53,0.0,-4.88,171.65
2026-08-31,31,1681.52,0.0,-4.88,1676.63
2026-09-24,24,110.08,0.0,-4.88,105.2
