period_end,days,pnl_price,pnl_borrow,pnl_txn,pnl_net
2019-02-28,28,575.22,0.0,-4.88,570.33
2019-03-29,29,252.48,0.0,-4.88,247.6
2019-04-30,32,615.28,0.0,-4.88,610.4
2019-05-31,31,-1024.31,0.0,-4.88,-1029.19
2019-06-28,28,795.58,0.0,-4.88,790.7
2019-07-31,33,420.36,0.0,-4.88,415.48
2019-08-30,30,-972.77,0.0,-4.88,-977.65
2019-09-30,31,544.07,0.0,-4.88,539.19
2019-10-31,31,793.13,0.0,-4.88,788.25
2019-11-29,29,895.79,0.0,-4.88,890.91
2019-12-31,32,337.49,0.0,-4.88,332.61
2020-01-31,31,-493.81,0.0,-4.88,-498.69
2020-02-28,28,-1765.25,0.0,-4.88,-1770.13
2020-03-31,32,-3794.16,0.0,-4.88,-3799.05
2020-04-30,30,660.9,0.0,-4.88,656.02
2020-05-29,29,353.71,0.0,-4.88,348.83
2020-06-30,32,-802.16,0.0,-4.88,-807.04
2020-07-31,31,756.2,0.0,-4.88,751.32
2020-08-31,31,218.61,0.0,-4.88,213.72
2020-09-30,30,225.07,0.0,-4.88,220.19
2020-10-30,30,-478.5,0.0,-4.88,-483.38
2020-11-30,31,2197.71,0.0,-4.88,2192.83
2020-12-31,31,18.88,0.0,-4.88,14.0
2021-01-29,29,-1276.85,0.0,-4.88,-1281.73
2021-02-26,28,1187.11,0.0,-4.88,1182.23
2021-03-31,33,1619.02,0.0,-4.88,1614.14
2021-04-30,30,563.78,0.0,-4.88,558.9
2021-05-28,28,399.75,0.0,-4.88,394.87
2021-06-30,33,696.51,0.0,-4.88,691.63
2021-07-30,30,-312.76,0.0,-4.88,-317.65
2021-08-31,32,751.52,0.0,-4.88,746.64
2021-09-30,30,-593.3,0.0,-4.88,-598.18
2021-10-29,29,1292.09,0.0,-4.88,1287.21
2021-11-30,32,-1242.5,0.0,-4.88,-1247.38
2021-12-31,31,1416.43,0.0,-4.88,1411.55
2022-01-31,31,-846.84,0.0,-4.88,-851.72
2022-02-28,28,-836.98,0.0,-4.88,-841.86
2022-03-31,31,600.18,0.0,-4.88,595.3
2022-04-29,29,-1234.62,0.0,-4.88,-1239.5
2022-05-31,32,487.51,0.0,-4.88,482.63
2022-06-30,30,-355.07,0.0,-4.88,-359.95
2022-07-29,29,1117.56,0.0,-4.88,1112.68
2022-08-31,33,-138.06,0.0,-4.88,-142.94
2022-09-30,30,-807.09,0.0,-4.88,-811.97
2022-10-31,31,859.74,0.0,-4.88,854.86
2022-11-30,30,827.08,0.0,-4.88,822.2
2022-12-30,30,224.66,0.0,-4.88,219.78
2023-01-31,32,1124.65,0.0,-4.88,1119.77
2023-02-28,28,-143.21,0.0,-4.88,-148.1
2023-03-31,31,-109.01,0.0,-4.88,-113.89
2023-04-28,28,848.24,0.0,-4.88,843.36
2023-05-31,33,405.71,0.0,-4.88,400.83
2023-06-30,30,1690.65,0.0,-4.88,1685.77
2023-07-31,31,484.2,0.0,-4.88,479.32
2023-08-31,31,162.56,0.0,-4.88,157.68
2023-09-29,29,-434.32,0.0,-4.88,-439.2
2023-10-31,32,-239.71,0.0,-4.88,-244.59
2023-11-30,30,1599.64,0.0,-4.88,1594.76
2023-12-29,29,535.83,0.0,-4.88,530.95
2024-01-31,33,115.19,0.0,-4.88,110.3
2024-02-29,29,535.62,0.0,-4.88,530.74
2024-03-28,28,210.54,0.0,-4.88,205.65
2024-04-30,33,-275.37,0.0,-4.88,-280.25
2024-05-31,31,848.29,0.0,-4.88,843.41
2024-06-28,28,303.34,0.0,-4.88,298.45
2024-07-31,33,-346.67,0.0,-4.88,-351.55
2024-08-30,30,-895.29,0.0,-4.88,-900.17
2024-09-30,31,-666.2,0.0,-4.88,-671.08
2024-10-31,31,-818.25,0.0,-4.88,-823.13
2024-11-29,29,1490.63,0.0,-4.88,1485.75
2024-12-31,32,-527.6,0.0,-4.88,-532.48
2025-01-31,31,105.31,0.0,-4.88,100.43
2025-02-28,28,-162.06,0.0,-4.88,-166.95
2025-03-31,31,-784.76,0.0,-4.88,-789.65
2025-04-30,30,-1781.39,0.0,-4.88,-1786.28
2025-05-30,30,788.1,0.0,-4.88,783.21
2025-06-30,31,523.98,0.0,-4.88,519.1
2025-07-31,31,625.62,0.0,-4.88,620.74
2025-08-29,29,734.39,0.0,-4.88,729.51
2025-09-30,32,440.65,0.0,-4.88,435.77
2025-10-31,31,-241.47,0.0,-4.88,-246.36
2025-11-28,28,129.69,0.0,-4.88,124.81
2025-12-31,33,977.41,0.0,-4.88,972.53
2026-01-30,30,-225.64,0.0,-4.88,-230.52
2026-02-27,28,-328.42,0.0,-4.88,-333.3
2026-03-31,32,-1210.04,0.0,-4.88,-1214.92
2026-04-30,30,1157.43,0.0,-4.88,1152.55
2026-05-29,29,754.62,0.0,-4.88,749.74
2026-06-30,32,366.16,0.0,-4.88,361.28
2026-07-31,31,136.39,0.0,-4.88,131.51
2026-08-31,31,834.0,0.0,-4.88,829.12
2026-09-24,24,109.99,0.0,-4.88,105.11
