period_end,days,pnl_price,pnl_borrow,pnl_txn,pnl_net
2019-01-11,7,-151.21,-24.96,-32.54,-208.71
2019-01-18,7,-38.83,-24.96,-32.54,-96.34
2019-01-25,7,158.64,-24.96,-32.54,101.14
2019-02-01,7,244.22,-24.96,-32.54,186.72
2019-02-08,7,144.43,-24.96,-32.54,86.92
2019-02-15,7,-98.68,-24.96,-32.54,-156.18
2019-02-22,7,28.9,-24.96,-32.54,-28.6
2019-03-01,7,8.95,-24.96,-32.54,-48.55
2019-03-08,7,-59.75,-24.96,-32.54,-117.25
2019-03-15,7,-366.07,-24.96,-32.54,-423.58
2019-03-22,7,197.92,-24.96,-32.54,140.41
2019-03-29,7,66.4,-24.96,-32.54,8.89
2019-04-05,7,-156.01,-24.96,-32.54,-213.52
2019-04-12,7,19.5,-24.96,-32.54,-38.0
2019-04-18,6,-68.42,-21.4,-32.54,-122.36
2019-04-26,8,-64.01,-28.53,-32.54,-125.08
2019-05-03,7,128.04,-24.96,-32.54,70.54
2019-05-10,7,-242.47,-24.96,-32.54,-299.97
2019-05-17,7,456.98,-24.96,-32.54,399.47
2019-05-24,7,-9.13,-24.96,-32.54,-66.64
2019-05-31,7,-74.88,-24.96,-32.54,-132.39
2019-06-07,7,20.48,-24.96,-32.54,-37.03
2019-06-14,7,4.76,-24.96,-32.54,-52.75
2019-06-21,7,-200.38,-24.96,-32.54,-257.89
2019-06-28,7,31.62,-24.96,-32.54,-25.89
2019-07-05,7,-62.99,-24.96,-32.54,-120.5
2019-07-12,7,0.93,-24.96,-32.54,-56.57
2019-07-19,7,-22.44,-24.96,-32.54,-79.95
2019-07-26,7,-35.64,-24.96,-32.54,-93.15
2019-08-02,7,-408.6,-24.96,-32.54,-466.1
2019-08-09,7,634.97,-24.96,-32.54,577.47
2019-08-16,7,524.05,-24.96,-32.54,466.55
2019-08-23,7,258.39,-24.96,-32.54,200.88
2019-08-30,7,-55.69,-24.96,-32.54,-113.2
2019-09-06,7,39.47,-24.96,-32.54,-18.04
2019-09-13,7,12.81,-24.96,-32.54,-44.69
2019-09-20,7,46.08,-24.96,-32.54,-11.42
2019-09-27,7,-3.11,-24.96,-32.54,-60.62
2019-10-04,7,207.64,-24.96,-32.54,150.14
2019-10-11,7,125.34,-24.96,-32.54,67.83
2019-10-18,7,94.84,-24.96,-32.54,37.34
2019-10-25,7,-48.25,-24.96,-32.54,-105.76
2019-11-01,7,-5.02,-24.96,-32.54,-62.52
2019-11-08,7,-19.54,-24.96,-32.54,-77.05
2019-11-15,7,-12.91,-24.96,-32.54,-70.42
2019-11-22,7,0.85,-24.96,-32.54,-56.66
2019-11-29,7,-29.21,-24.96,-32.54,-86.72
2019-12-06,7,110.44,-24.96,-32.54,52.94
2019-12-13,7,1.08,-24.96,-32.54,-56.42
2019-12-20,7,-133.61,-24.96,-32.54,-191.12
2019-12-27,7,13.53,-24.96,-32.54,-43.98
2020-01-03,7,105.9,-24.96,-32.54,48.39
2020-01-10,7,-28.77,-24.96,-32.54,-86.27
2020-01-17,7,-77.75,-24.96,-32.54,-135.26
2020-01-24,7,18.17,-24.96,-32.54,-39.34
2020-01-31,7,212.08,-24.96,-32.54,154.57
2020-02-07,7,-365.33,-24.96,-32.54,-422.84
2020-02-14,7,-112.16,-24.96,-32.54,-169.67
2020-02-21,7,39.75,-24.96,-32.54,-17.75
2020-02-28,7,-1871.08,-24.96,-32.54,-1928.59
2020-03-06,7,1889.31,-24.96,-32.54,1831.8
2020-03-13,7,6952.91,-24.96,-32.54,6895.4
2020-03-20,7,3484.97,-24.96,-32.54,3427.46
2020-03-27,7,684.84,-24.96,-32.54,627.33
2020-04-03,7,1245.85,-24.96,-32.54,1188.34
2020-04-09,6,-743.37,-21.4,-32.54,-797.3
2020-04-17,8,-691.36,-28.53,-32.54,-752.43
2020-04-24,7,821.5,-24.96,-32.54,763.99
2020-05-01,7,742.98,-24.96,-32.54,685.47
2020-05-08,7,-673.54,-24.96,-32.54,-731.05
2020-05-15,7,337.69,-24.96,-32.54,280.19
2020-05-22,7,-21.62,-24.96,-32.54,-79.13
2020-05-29,7,-10.86,-24.96,-32.54,-68.37
2020-06-05,7,-81.28,-24.96,-32.54,-138.79
2020-06-12,7,840.01,-24.96,-32.54,782.5
2020-06-19,7,-195.3,-24.96,-32.54,-252.81
2020-06-26,7,323.7,-24.96,-32.54,266.2
2020-07-02,6,-467.81,-21.4,-32.54,-521.75
2020-07-10,8,-315.11,-28.53,-32.54,-376.18
2020-07-17,7,-0.59,-24.96,-32.54,-58.09
2020-07-24,7,565.2,-24.96,-32.54,507.69
2020-07-31,7,-164.95,-24.96,-32.54,-222.45
2020-08-07,7,53.26,-24.96,-32.54,-4.25
2020-08-14,7,223.19,-24.96,-32.54,165.69
2020-08-21,7,-123.6,-24.96,-32.54,-181.11
2020-08-28,7,-210.13,-24.96,-32.54,-267.63
2020-09-04,7,738.43,-24.96,-32.54,680.93
2020-09-11,7,467.29,-24.96,-32.54,409.79
2020-09-18,7,267.02,-24.96,-32.54,209.51
2020-09-25,7,522.66,-24.96,-32.54,465.16
2020-10-02,7,423.37,-24.96,-32.54,365.87
2020-10-09,7,-29.73,-24.96,-32.54,-87.23
2020-10-16,7,262.6,-24.96,-32.54,205.09
2020-10-23,7,114.94,-24.96,-32.54,57.43
2020-10-30,7,-58.28,-24.96,-32.54,-115.78
2020-11-06,7,-1356.88,-24.96,-32.54,-1414.38
2020-11-13,7,370.0,-24.96,-32.54,312.49
2020-11-20,7,73.22,-24.96,-32.54,15.72
2020-11-27,7,-130.98,-24.96,-32.54,-188.48
2020-12-04,7,-20.85,-24.96,-32.54,-78.35
2020-12-11,7,113.67,-24.96,-32.54,56.17
2020-12-18,7,-75.71,-24.96,-32.54,-133.22
2020-12-24,6,-5.95,-21.4,-32.54,-59.89
2020-12-31,7,3.79,-24.96,-32.54,-53.71
2021-01-08,8,279.89,-28.53,-32.54,218.82
2021-01-15,7,-22.81,-24.96,-32.54,-80.31
2021-01-22,7,-257.64,-24.96,-32.54,-315.15
2021-01-29,7,72.87,-24.96,-32.54,15.36
2021-02-05,7,-473.48,-24.96,-32.54,-530.98
