period_end,days,pnl_price,pnl_borrow,pnl_txn,pnl_net
2019-02-28,28,1694.45,-37.45,-4.88,1652.12
2019-03-29,29,1074.3,-38.78,-4.88,1030.63
2019-04-30,32,1784.35,-42.79,-4.88,1736.67
2019-05-31,31,-2564.22,-41.46,-4.88,-2610.56
2019-06-28,28,2103.77,-37.45,-4.88,2061.44
2019-07-31,33,1395.08,-44.13,-4.88,1346.07
2019-08-30,30,-1721.73,-40.12,-4.88,-1766.73
2019-09-30,31,1755.71,-41.46,-4.88,1709.37
2019-10-31,31,2451.86,-41.46,-4.88,2405.53
2019-11-29,29,2332.98,-38.78,-4.88,2289.32
2019-12-31,32,1282.8,-42.79,-4.88,1235.13
2020-01-31,31,-954.28,-41.46,-4.88,-1000.62
2020-02-28,28,-6057.56,-37.45,-4.88,-6099.89
2020-03-31,32,-15169.51,-42.79,-4.88,-15217.18
2020-04-30,30,2772.37,-40.12,-4.88,2727.37
2020-05-29,29,1946.44,-38.78,-4.88,1902.78
2020-06-30,32,238.46,-42.79,-4.88,190.79
2020-07-31,31,2295.3,-41.46,-4.88,2248.96
2020-08-31,31,935.33,-41.46,-4.88,888.99
2020-09-30,30,1124.95,-40.12,-4.88,1079.95
2020-10-30,30,-750.21,-40.12,-4.88,-795.21
2020-11-30,31,4718.38,-41.46,-4.88,4672.04
2020-12-31,31,420.27,-41.46,-4.88,373.93
2021-01-29,29,-3659.78,-38.78,-4.88,-3703.45
2021-02-26,28,3413.87,-37.45,-4.88,3371.54
2021-03-31,33,3980.71,-44.13,-4.88,3931.7
2021-04-30,30,1762.43,-40.12,-4.88,1717.43
2021-05-28,28,2157.02,-37.45,-4.88,2114.69
2021-06-30,33,2189.59,-44.13,-4.88,2140.57
2021-07-30,30,-195.39,-40.12,-4.88,-240.39
2021-08-31,32,2302.08,-42.79,-4.88,2254.41
2021-09-30,30,-1226.46,-40.12,-4.88,-1271.46
2021-10-29,29,3225.0,-38.78,-4.88,3181.33
2021-11-30,32,-2422.8,-42.79,-4.88,-2470.48
2021-12-31,31,3848.85,-41.46,-4.88,3802.51
2022-01-31,31,-2191.25,-41.46,-4.88,-2237.59
2022-02-28,28,-1488.1,-37.45,-4.88,-1530.43
2022-03-31,31,2270.86,-41.46,-4.88,2224.52
2022-04-29,29,-3488.67,-38.78,-4.88,-3532.33
2022-05-31,32,2367.15,-42.79,-4.88,2319.47
2022-06-30,30,-486.71,-40.12,-4.88,-531.71
2022-07-29,29,2828.63,-38.78,-4.88,2784.97
2022-08-31,33,85.14,-44.13,-4.88,36.12
2022-09-30,30,-2500.26,-40.12,-4.88,-2545.26
2022-10-31,31,2309.57,-41.46,-4.88,2263.23
2022-11-30,30,2278.91,-40.12,-4.88,2233.9
2022-12-30,30,856.81,-40.12,-4.88,811.81
2023-01-31,32,2775.05,-42.79,-4.88,2727.37
2023-02-28,28,-159.06,-37.45,-4.88,-201.39
2023-03-31,31,665.18,-41.46,-4.88,618.84
2023-04-28,28,2288.41,-37.45,-4.88,2246.08
2023-05-31,33,1398.56,-44.13,-4.88,1349.54
2023-06-30,30,3844.17,-40.12,-4.88,3799.17
2023-07-31,31,1356.93,-41.46,-4.88,1310.59
2023-08-31,31,876.91,-41.46,-4.88,830.57
2023-09-29,29,-1158.83,-38.78,-4.88,-1202.49
2023-10-31,32,138.52,-42.79,-4.88,90.84
2023-11-30,30,3653.29,-40.12,-4.88,3608.29
2023-12-29,29,1522.95,-38.78,-4.88,1479.28
2024-01-31,33,474.24,-44.13,-4.88,425.23
2024-02-29,29,1544.0,-38.78,-4.88,1500.34
2024-03-28,28,635.43,-37.45,-4.88,593.1
2024-04-30,33,-515.93,-44.13,-4.88,-564.94
2024-05-31,31,2191.93,-41.46,-4.88,2145.6
2024-06-28,28,855.16,-37.45,-4.88,812.84
2024-07-31,33,-696.73,-44.13,-4.88,-745.74
2024-08-30,30,1312.24,-40.12,-4.88,1267.24
2024-09-30,31,-1386.33,-41.46,-4.88,-1432.67
2024-10-31,31,-2353.49,-41.46,-4.88,-2399.83
2024-11-29,29,3672.76,-38.78,-4.88,3629.1
2024-12-31,32,-718.28,-42.79,-4.88,-765.95
2025-01-31,31,636.07,-41.46,-4.88,589.73
2025-02-28,28,-372.96,-37.45,-4.88,-415.29
2025-03-31,31,-1611.71,-41.46,-4.88,-1658.04
2025-04-30,30,-2845.82,-40.12,-4.88,-2890.83
2025-05-30,30,2474.49,-40.12,-4.88,2429.49
2025-06-30,31,1659.49,-41.46,-4.88,1613.15
2025-07-31,31,1723.4,-41.46,-4.88,1677.06
2025-08-29,29,2137.12,-38.78,-4.88,2093.46
2025-09-30,32,1311.38,-42.79,-4.88,1263.7
2025-10-31,31,-158.97,-41.46,-4.88,-205.31
2025-11-28,28,1004.77,-37.45,-4.88,962.44
2025-12-31,33,2391.9,-44.13,-4.88,2342.88
2026-01-30,30,-353.22,-40.12,-4.88,-398.22
2026-02-27,28,-634.57,-37.45,-4.88,-676.9
2026-03-31,32,-3114.63,-42.79,-4.88,-3162.31
2026-04-30,30,2951.14,-40.12,-4.88,2906.14
2026-05-29,29,2065.4,-38.78,-4.88,2021.73
2026-06-30,32,1316.59,-42.79,-4.88,1268.92
2026-07-31,31,635.4,-41.46,-4.88,589.07
2026-08-31,31,2223.51,-41.46,-4.88,2177.17
2026-09-24,24,418.31,-32.1,-4.88,381.34
