filter,trades_kept,trades_removed,pct_removed,holiday_removed,holiday_total,nonholiday_removed,nonholiday_total,pnl_kept,pnl_removed,maxdd_kept,sharpe_kept,wr_kept,selectivity
BASELINE,636,0,0.0,0,39,0,597,247126.3,0.0,19080.359999999986,4.569079824437184,40.56603773584906,0.0
H1: SPY_vol_ratio >= 0.65,602,34,5.345911949685535,7,39,27,597,255597.31,-8471.009999999998,16753.28,4.673538202513598,41.36212624584717,3.3574660633484164
H1: SPY_vol_ratio >= 0.70,587,49,7.70440251572327,7,39,42,597,251425.43,-4299.129999999998,16753.28,4.7130102535808405,41.396933560477,2.32967032967033
H1: SPY_vol_ratio >= 0.75,552,84,13.20754716981132,7,39,77,597,247193.46000000002,-67.15999999999894,16753.28,4.60451997829721,41.84782608695652,1.358974358974359
H1: SPY_vol_ratio >= 0.80,524,112,17.61006289308176,7,39,105,597,222966.28999999998,24160.010000000006,16753.28,4.195335444040925,41.79389312977099,1.0192307692307692
H1: SPY_vol_ratio >= 0.85,463,173,27.20125786163522,10,39,163,597,209974.39,37151.909999999996,15925.779999999999,4.603603233926755,42.33261339092873,0.9426411738550466
H2: breakout_vol_ratio >= 1.5,247,389,61.16352201257862,27,39,362,597,139424.48,107701.82,7341.0,4.184536913773987,46.963562753036435,1.1318963812537077
H2: breakout_vol_ratio >= 2.0,193,443,69.65408805031447,31,39,412,597,114378.07,132748.22999999998,6973.0,3.557481862072632,47.66839378238342,1.1411703420732766
H2: breakout_vol_ratio >= 2.5,165,471,74.05660377358491,34,39,437,597,111860.48,135265.81999999998,4929.690000000002,3.484788461367631,49.696969696969695,1.1772007186019924
H2: breakout_vol_ratio >= 3.0,128,508,79.87421383647799,36,39,472,597,92444.80000000002,154681.5,4794.980000000003,3.0987304824346062,50.78125,1.155663234403392
H2: breakout_vol_ratio >= 3.5,104,532,83.64779874213836,36,39,496,597,69840.82,177285.47999999998,4794.98,2.831082263895507,50.0,1.103528050896472
H3: avg_pole_volume >= 500,635,1,0.15723270440251574,0,39,1,597,244996.3,2130.0,19080.359999999986,4.516110026266134,40.47244094488189,0.0
