hypothesis,symbol,entry_time,entry_price,planned_entry,entry_gap,stop_loss,target,shares,exit_time,exit_price,exit_reason,pnl,pnl_pct,sizing_mode,risk_budget,risk_per_share,dollar_risk_per_trade,position_value,partial_taken,partial_price,partial_shares,partial_pnl
H10a,OPTX,2026-02-04 18:01:00+00:00,7.01,7.00,0.0100,6.90,7.27,10000,2026-02-04 18:49:00+00:00,7.27,target,2650.00,3.78,fixed_risk,2000,0.1100,1100.00,70100.00,False,,0,0.00
H10a,HYPD,2026-02-06 18:31:00+00:00,4.32,4.30,0.0151,4.26,4.45,10000,2026-02-06 18:36:00+00:00,4.45,target,1349.00,3.13,fixed_risk,2000,0.0600,600.00,43151.00,False,,0,0.00
H10a,NTWK,2026-02-06 18:58:00+00:00,3.49,3.41,0.0799,3.43,3.56,10000,2026-02-06 19:51:00+00:00,3.49,force_close,1.00,0.00,fixed_risk,2000,0.0600,600.00,34899.00,False,,0,0.00
H10a,RVSN,2026-02-06 14:37:00+00:00,4.75,4.70,0.0520,4.62,5.03,10000,2026-02-06 14:42:00+00:00,4.62,stop,-1300.00,-2.74,fixed_risk,2000,0.1300,1300.00,47520.00,False,,0,0.00
H10a,FGL,2026-02-11 18:14:00+00:00,14.00,13.96,0.0400,13.83,14.39,10000,2026-02-11 18:17:00+00:00,14.39,target,3850.00,2.75,fixed_risk,2000,0.1700,1700.00,140000.00,False,,0,0.00
H10a,ASTI,2026-02-17 18:38:00+00:00,5.92,5.92,0.0025,5.85,6.10,10000,2026-02-17 19:39:00+00:00,6.10,target,1787.50,3.02,fixed_risk,2000,0.0725,725.00,59250.00,False,,0,0.00
H10a,DBGI,2026-02-17 15:16:00+00:00,5.41,5.36,0.0500,5.32,5.58,10000,2026-02-17 15:18:00+00:00,5.58,target,1747.50,3.23,fixed_risk,2000,0.0899,899.00,54100.00,False,,0,0.00
H10a,CDIO,2026-02-18 18:28:00+00:00,2.22,2.18,0.0400,2.14,2.38,10000,2026-02-18 18:31:00+00:00,2.14,stop,-800.00,-3.60,fixed_risk,2000,0.0800,800.00,22200.00,False,,0,0.00
H10a,NCI,2026-02-20 15:05:00+00:00,5.45,5.34,0.1050,5.38,5.53,10000,2026-02-20 15:06:00+00:00,5.53,target,825.00,1.51,fixed_risk,2000,0.0750,750.00,54500.00,False,,0,0.00
H10a,VVPR,2026-02-20 15:09:00+00:00,2.38,2.38,0.0000,2.32,2.52,10000,2026-02-20 16:04:00+00:00,2.32,stop,-565.00,-2.38,fixed_risk,2000,0.0565,565.00,23765.00,False,,0,0.00
H10a,HCTI,2026-02-26 15:15:00+00:00,7.94,7.93,0.0108,7.85,8.15,10000,2026-02-26 15:18:00+00:00,7.85,stop,-892.00,-1.12,fixed_risk,2000,0.0892,892.00,79400.00,False,,0,0.00
H10a,CDIO,2026-02-27 14:57:00+00:00,7.16,7.16,0.0000,6.92,7.75,8438,2026-02-27 14:59:00+00:00,6.92,stop,-1999.81,-3.31,fixed_risk,2000,0.2370,1999.81,60390.77,False,,0,0.00
H10a,CDIO,2026-03-02 15:15:00+00:00,5.26,5.25,0.0150,5.18,5.45,10000,2026-03-02 15:18:00+00:00,5.45,target,1850.00,3.51,fixed_risk,2000,0.0800,800.00,52650.00,False,,0,0.00
H10a,INDO,2026-03-02 14:51:00+00:00,7.42,7.37,0.0500,7.33,7.59,10000,2026-03-02 14:53:00+00:00,7.33,stop,-900.00,-1.21,fixed_risk,2000,0.0900,900.00,74200.00,False,,0,0.00
H10a,BDMD,2026-03-04 18:43:00+00:00,3.32,3.32,0.0000,3.26,3.47,10000,2026-03-04 18:54:00+00:00,3.26,stop,-600.00,-1.81,fixed_risk,2000,0.0600,600.00,33200.00,False,,0,0.00
H10a,BTOG,2026-03-04 18:24:00+00:00,2.97,2.97,0.0000,2.90,3.14,10000,2026-03-04 18:37:00+00:00,3.14,target,1747.50,5.88,fixed_risk,2000,0.0699,699.00,29699.00,False,,0,0.00
H10a,BATL,2026-03-05 14:47:00+00:00,19.74,19.74,0.0000,19.19,21.12,3636,2026-03-05 14:53:00+00:00,19.19,stop,-1999.80,-2.79,fixed_risk,2000,0.5500,1999.80,71774.64,False,,0,0.00
H10a,INDO,2026-03-05 18:30:00+00:00,5.38,5.35,0.0378,5.30,5.55,10000,2026-03-05 18:34:00+00:00,5.30,stop,-816.00,-1.52,fixed_risk,2000,0.0816,816.00,53844.00,False,,0,0.00
H10a,INDO,2026-03-06 18:40:00+00:00,5.59,5.57,0.0200,5.53,5.72,10000,2026-03-06 18:41:00+00:00,5.53,stop,-599.00,-1.07,fixed_risk,2000,0.0599,599.00,55899.00,False,,0,0.00
H10a,EDSA,2026-03-09 14:42:00+00:00,7.05,7.05,0.0000,6.94,7.32,10000,2026-03-09 14:53:00+00:00,7.32,target,2750.00,3.90,fixed_risk,2000,0.1100,1100.00,70500.00,False,,0,0.00
H10a,GSIW,2026-03-09 18:28:00+00:00,27.67,27.53,0.1407,26.29,30.97,1452,2026-03-09 18:33:00+00:00,30.97,target,4792.27,11.93,fixed_risk,2000,1.3765,1998.63,40176.84,False,,0,0.00
H10a,AIDX,2026-03-10 18:11:00+00:00,3.03,3.03,0.0000,2.90,3.34,10000,2026-03-10 18:14:00+00:00,2.90,stop,-1254.00,-4.14,fixed_risk,2000,0.1254,1254.00,30300.00,False,,0,0.00
H10a,CDIO,2026-03-10 14:48:00+00:00,5.09,5.06,0.0300,5.03,5.21,10000,2026-03-10 14:50:00+00:00,5.03,stop,-600.00,-1.18,fixed_risk,2000,0.0600,600.00,50900.00,False,,0,0.00
H10a,ACXP,2026-03-11 15:04:00+00:00,4.78,4.78,0.0000,4.68,5.03,10000,2026-03-11 15:08:00+00:00,4.68,stop,-1000.00,-2.09,fixed_risk,2000,0.1000,1000.00,47800.00,False,,0,0.00
H10a,ANNA,2026-03-11 18:39:00+00:00,3.49,3.49,0.0000,3.43,3.64,10000,2026-03-11 18:51:00+00:00,3.43,stop,-600.00,-1.72,fixed_risk,2000,0.0600,600.00,34900.00,False,,0,0.00
