hypothesis,symbol,entry_time,entry_price,stop_loss,target,shares,exit_time,exit_price,exit_reason,pnl,pnl_pct,sizing_mode,risk_budget,risk_per_share,dollar_risk_per_trade,position_value
H4,BTOG,2026-02-02 15:29:00+00:00,3.21,3.09,3.44,4166,2026-02-02 15:53:00+00:00,3.09,stop,-499.92,-3.74,fixed_risk,500,0.1200,499.92,13352.03
H4,MVO,2026-02-02 14:48:00+00:00,1.72,1.65,1.87,6934,2026-02-02 15:11:00+00:00,1.65,stop,-499.94,-4.19,fixed_risk,500,0.0721,499.94,11941.04
H4,NCI,2026-02-02 19:49:00+00:00,1.35,1.32,1.41,10000,2026-02-02 19:53:00+00:00,1.32,stop,-300.00,-2.22,fixed_risk,500,0.0300,300.00,13500.00
H4,SNES,2026-02-02 18:53:00+00:00,2.03,1.98,2.13,10000,2026-02-02 18:54:00+00:00,2.13,target,1000.00,4.93,fixed_risk,500,0.0500,500.00,20300.00
H4,ELAB,2026-02-03 18:27:00+00:00,2.35,2.32,2.41,10000,2026-02-03 18:37:00+00:00,2.32,stop,-300.00,-1.28,fixed_risk,500,0.0300,300.00,23500.00
H4,PBM,2026-02-04 15:22:00+00:00,2.85,2.76,3.04,5405,2026-02-04 17:19:00+00:00,2.76,stop,-499.96,-3.24,fixed_risk,500,0.0925,499.96,15417.76
H4,BNKK,2026-02-06 15:19:00+00:00,3.76,3.70,3.89,7692,2026-02-06 15:28:00+00:00,3.89,target,999.96,3.46,fixed_risk,500,0.0650,499.98,28921.92
H4,NTWK,2026-02-06 18:58:00+00:00,3.41,3.35,3.53,8333,2026-02-06 19:04:00+00:00,3.53,target,999.96,3.52,fixed_risk,500,0.0600,499.98,28415.53
H4,NCI,2026-02-11 15:25:00+00:00,0.98,0.97,1.00,10000,2026-02-11 15:26:00+00:00,1.00,target,200.00,2.04,fixed_risk,500,0.0100,100.00,9800.00
H4,OPTX,2026-02-11 19:46:00+00:00,6.40,6.31,6.58,5561,2026-02-11 19:53:00+00:00,6.58,target,999.87,2.81,fixed_risk,500,0.0899,499.93,35590.40
H4,ZNB,2026-02-11 14:54:00+00:00,0.27,0.26,0.30,10000,2026-02-11 15:13:00+00:00,0.26,stop,-117.00,-4.28,fixed_risk,500,0.0117,117.00,2731.00
H4,DBGI,2026-02-17 15:16:00+00:00,5.36,5.27,5.54,5561,2026-02-17 15:18:00+00:00,5.54,target,999.87,3.35,fixed_risk,500,0.0899,499.93,29806.96
H4,GLXG,2026-02-17 14:48:00+00:00,2.64,2.60,2.73,10000,2026-02-17 14:51:00+00:00,2.73,target,838.00,3.17,fixed_risk,500,0.0419,419.00,26419.00
H4,CDIO,2026-02-18 19:55:00+00:00,2.43,2.39,2.51,10000,2026-02-18 19:59:00+00:00,2.39,stop,-400.00,-1.65,fixed_risk,500,0.0400,400.00,24300.00
H4,INTS,2026-02-19 15:02:00+00:00,6.18,6.02,6.51,3111,2026-02-19 15:03:00+00:00,6.51,target,999.88,5.20,fixed_risk,500,0.1607,499.94,19241.53
H4,KIDZ,2026-02-19 18:44:00+00:00,0.12,0.11,0.13,10000,2026-02-19 20:00:00+00:00,0.12,eod,-14.00,-1.17,fixed_risk,500,0.0060,59.90,1198.00
H4,NAMM,2026-02-19 14:46:00+00:00,2.65,2.59,2.77,8333,2026-02-19 14:48:00+00:00,2.77,target,999.96,4.53,fixed_risk,500,0.0600,499.98,22082.45
H4,RLYB,2026-02-19 19:30:00+00:00,4.86,4.80,4.98,8305,2026-02-19 19:58:00+00:00,4.81,eod,-411.10,-1.02,fixed_risk,500,0.0602,499.96,40362.30
H4,DBGI,2026-02-20 14:39:00+00:00,5.16,5.08,5.33,5882,2026-02-20 14:43:00+00:00,5.33,target,999.94,3.29,fixed_risk,500,0.0850,499.97,30351.12
H4,EDSA,2026-02-23 14:41:00+00:00,0.84,0.83,0.86,10000,2026-02-23 14:43:00+00:00,0.86,target,200.00,2.39,fixed_risk,500,0.0100,100.00,8378.00
H4,KXIN,2026-02-23 18:13:00+00:00,0.62,0.61,0.64,10000,2026-02-23 18:18:00+00:00,0.61,stop,-113.00,-1.83,fixed_risk,500,0.0113,113.00,6188.00
H4,ELPW,2026-02-24 19:42:00+00:00,0.41,0.40,0.44,10000,2026-02-24 19:45:00+00:00,0.44,target,284.00,6.89,fixed_risk,500,0.0142,142.00,4124.00
H4,ELWT,2026-02-25 15:03:00+00:00,7.34,7.26,7.50,6377,2026-02-25 15:04:00+00:00,7.50,target,999.91,2.14,fixed_risk,500,0.0784,499.96,46812.28
H4,ASTI,2026-02-27 14:46:00+00:00,6.04,5.96,6.19,6666,2026-02-27 14:51:00+00:00,5.96,stop,-499.95,-1.24,fixed_risk,500,0.0750,499.95,40262.64
H4,AENT,2026-03-02 19:47:00+00:00,5.49,5.38,5.72,4347,2026-03-02 19:58:00+00:00,5.38,stop,-499.91,-2.09,fixed_risk,500,0.1150,499.91,23865.03
H4,BUUU,2026-03-02 15:16:00+00:00,14.99,14.50,15.97,1020,2026-03-02 15:25:00+00:00,14.50,stop,-499.80,-3.27,fixed_risk,500,0.4900,499.80,15289.80
H4,INDO,2026-03-02 14:51:00+00:00,7.37,7.28,7.55,5555,2026-03-02 14:52:00+00:00,7.55,target,999.90,2.44,fixed_risk,500,0.0900,499.95,40940.35
H4,JFB,2026-03-02 15:08:00+00:00,17.49,16.99,18.49,1000,2026-03-02 15:11:00+00:00,18.49,target,1000.00,5.72,fixed_risk,500,0.5000,500.00,17490.00
H4,RFIL,2026-03-02 14:46:00+00:00,12.28,12.14,12.54,3703,2026-03-02 14:52:00+00:00,12.54,target,999.81,2.20,fixed_risk,500,0.1350,499.90,45454.33
H4,EDSA,2026-03-03 14:36:00+00:00,2.84,2.74,3.03,5128,2026-03-03 14:44:00+00:00,3.03,target,999.96,6.87,fixed_risk,500,0.0975,499.98,14563.52
H4,SBLX,2026-03-03 18:33:00+00:00,2.42,2.37,2.52,10000,2026-03-03 19:51:00+00:00,2.50,eod,780.00,3.22,fixed_risk,500,0.0500,500.00,24200.00
H4,TOPS,2026-03-03 18:35:00+00:00,4.58,4.50,4.73,6675,2026-03-03 18:36:00+00:00,4.50,stop,-499.96,-1.64,fixed_risk,500,0.0749,499.96,30570.83
H4,VELO,2026-03-03 14:39:00+00:00,11.73,11.59,12.01,3573,2026-03-03 14:42:00+00:00,11.59,stop,-499.86,-1.19,fixed_risk,500,0.1399,499.86,41910.93
H4,TMDE,2026-03-04 19:34:00+00:00,2.36,2.33,2.42,10000,2026-03-04 19:39:00+00:00,2.42,target,600.00,2.54,fixed_risk,500,0.0300,300.00,23600.00
H4,OPTX,2026-03-09 13:42:00+00:00,6.56,6.41,6.87,3246,2026-03-09 13:44:00+00:00,6.87,target,999.77,4.70,fixed_risk,500,0.1540,499.88,21290.51
H4,ATLN,2026-03-10 15:01:00+00:00,3.46,3.41,3.56,10000,2026-03-10 16:44:00+00:00,3.56,target,958.00,2.77,fixed_risk,500,0.0479,479.00,34610.00
H4,SBLX,2026-03-10 14:49:00+00:00,2.69,2.64,2.79,10000,2026-03-10 16:03:00+00:00,2.79,target,1000.00,3.72,fixed_risk,500,0.0500,500.00,26900.00
H4,PHGE,2026-03-12 13:46:00+00:00,6.46,6.36,6.65,5149,2026-03-12 13:53:00+00:00,6.36,stop,-499.97,-1.50,fixed_risk,500,0.0971,499.97,33258.42
H4,BIAF,2026-03-13 13:43:00+00:00,2.12,2.05,2.26,7142,2026-03-13 13:44:00+00:00,2.26,target,999.88,6.60,fixed_risk,500,0.0700,499.94,15141.04
H4,PLYX,2026-03-13 18:33:00+00:00,6.80,6.71,6.98,5555,2026-03-13 18:34:00+00:00,6.98,target,999.90,2.65,fixed_risk,500,0.0900,499.95,37774.00
H4,QNTM,2026-03-13 13:55:00+00:00,2.56,2.53,2.64,10000,2026-03-13 14:10:00+00:00,2.53,stop,-386.00,-1.50,fixed_risk,500,0.0386,386.00,25650.00
