Universe: 610 stocks, Volume profiles: 896 stocks
2026-03-14 22:12:34,513 [WARNING] trading.trade_planner: BDMD: fixed_risk shares 21505 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:12:34,582 [WARNING] trading.trade_planner: BDMD: fixed_risk shares 40000 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:12:34,659 [WARNING] backtest: BRFH: Only 3 bars, need at least 6 for setup detection
2026-03-14 22:12:34,776 [WARNING] trading.trade_planner: COEP: fixed_risk shares 33333 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:12:34,782 [WARNING] trading.trade_planner: COEP: fixed_risk shares 12894 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:12:35,016 [WARNING] trading.trade_planner: EBON: fixed_risk shares 21390 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:12:35,016 [WARNING] trading.trade_planner: EBON: fixed_risk shares 33333 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:12:35,030 [WARNING] trading.trade_planner: EBON: fixed_risk shares 14285 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:12:35,731 [WARNING] trading.trade_planner: KORE: fixed_risk shares 57471 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:12:35,734 [WARNING] trading.trade_planner: KORE: fixed_risk shares 33333 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:12:35,734 [WARNING] trading.trade_planner: KORE: fixed_risk shares 22222 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:12:35,734 [WARNING] trading.trade_planner: KORE: fixed_risk shares 22222 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:12:35,734 [WARNING] trading.trade_planner: KORE: fixed_risk shares 22222 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:12:36,326 [WARNING] trading.trade_planner: MOB: fixed_risk shares 40000 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:12:37,083 [WARNING] backtest: PODC: Only 5 bars, need at least 6 for setup detection
2026-03-14 22:12:37,255 [WARNING] trading.trade_planner: PULM: fixed_risk shares 37950 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:12:37,259 [WARNING] trading.trade_planner: PULM: fixed_risk shares 18181 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:12:37,561 [WARNING] trading.trade_planner: RVPH: fixed_risk shares 66666 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:12:37,730 [WARNING] trading.trade_planner: RVSN: fixed_risk shares 66666 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:12:38,039 [WARNING] trading.trade_planner: SPCB: fixed_risk shares 33333 exceeds max_shares 10000, capping (risk budget distorted)
